Policy_ID,Customer_ID,Policy_Type,Premium,Coverage,Start_Date,End_Date,Policy_Status
P000027,C01964,Vehicle,16582.76,563626,2023-08-28,2024-08-28,Expired
P000028,C08244,Vehicle,9929.11,420116,2026-07-21,2027-07-21,Active
P000029,C06591,Life,82036.02,6707197,2019-07-23,2020-07-23,Active
P000030,C08848,Life,159521.29,5418934,2022-08-20,2023-08-20,Active
P000031,C00322,Life,76345.48,2785277,2024-04-04,2025-04-04,Active
P000032,C02679,Life,56629.55,4337174,2022-02-07,2023-02-07,Active
P000033,C04626,Life,280800.94,9897858,2022-09-19,2023-09-19,Active
P000034,C04950,Life,82225.42,2876828,2026-03-14,2027-03-14,Expired
P000035,C08329,Health,16932.02,1144903,2022-04-23,2023-04-23,Active
P000036,C03338,Life,27189.83,2321324,2025-12-24,2026-12-24,Active
P000037,C05590,Life,251580.19,9937326,2023-11-20,2024-11-20,Active
P000038,C00252,Life,57690.93,3770370,2020-06-25,2021-06-25,Expired
P000039,C03974,Life,130127.84,4553384,2023-01-06,2024-01-06,Active
P000040,C06631,Health,32390.11,1995162,2026-01-12,2027-01-12,Expired
P000041,C05548,Health,39714.39,1418762,2022-11-13,2023-11-13,Active
P000042,C00036,Life,34766.74,2074176,2026-06-01,2027-06-01,Active
P000043,C08363,Health,9756.62,961829,2026-07-01,2027-07-01,Active
P000044,C01514,Life,59893.07,2130789,2025-07-08,2026-07-08,Expired
P000045,C09318,Life,77739.6,4993055,2024-06-17,2025-06-17,Active
P000046,C00040,Life,132700.84,8930103,2025-11-17,2026-11-17,Active
P000047,C04820,Life,30831.76,2582524,2023-03-23,2024-03-23,Active
P000048,C03466,Life,241000.13,8835373,2021-01-19,2022-01-19,Active
P000049,C01761,Vehicle,11699.88,977568,2025-10-08,2026-10-08,Active
P000050,C02305,Health,10917.7,729153,2022-11-15,2023-11-15,Active
P000051,C03724,Life,110424.31,8077999,2025-11-03,2026-11-03,Active
P000052,C08285,Vehicle,7149.8,379046,2026-02-01,2027-02-01,Expired
P000053,C04994,Health,13966.09,606091,2024-07-13,2025-07-13,Active
P000054,C08128,Life,73163.75,2564689,2023-07-09,2024-07-09,Expired
P000055,C03033,Health,29803.13,1518463,2024-05-15,2025-05-15,Expired
P000056,C07939,Vehicle,8308.65,472634,2022-08-30,2023-08-30,Expired
P000057,C03040,Vehicle,12204.5,777110,2021-11-19,2022-11-19,Active
P000058,C09656,Life,120024.14,9164991,2024-10-14,2025-10-14,Active
P000059,C02546,Vehicle,22424.03,907314,2024-03-11,2025-03-11,Active
P000060,C02593,Life,39924.8,1841248,2026-06-11,2027-06-11,Active
P000061,C01189,Vehicle,5179.87,465080,2026-07-25,2027-07-25,Active
P000062,C07967,Health,14097.46,643699,2020-06-21,2021-06-21,Active
P000063,C06078,Vehicle,12274.04,425710,2025-10-09,2026-10-09,Active
P000064,C00108,Life,37314.67,1666754,2021-09-13,2022-09-13,Active
P000065,C01316,Health,26064.31,1596354,2021-11-19,2022-11-19,Active
P000066,C08188,Life,92647.91,6271130,2022-05-02,2023-05-02,Active
P000067,C02754,Vehicle,11765.61,614569,2022-08-01,2023-08-01,Expired
P000068,C09754,Vehicle,5936.9,309767,2026-07-04,2027-07-04,Expired
P000069,C06232,Vehicle,7820.01,376819,2025-01-30,2026-01-30,Active
P000070,C02877,Vehicle,18392.06,665962,2021-10-19,2022-10-19,Expired
P000071,C05324,Life,68422.78,3646552,2024-07-06,2025-07-06,Active
P000072,C00800,Life,100286.45,9874152,2026-05-12,2027-05-12,Expired
P000073,C03571,Health,22830.37,1891226,2024-08-23,2025-08-23,Expired
P000074,C02895,Health,18001.87,724470,2025-10-28,2026-10-28,Active
P000075,C02928,Health,22933.04,941722,2021-10-21,2022-10-21,Active
P000076,C08179,Vehicle,11598.54,576807,2024-12-26,2025-12-26,Active
P000077,C00972,Health,7184.97,606533,2024-03-27,2025-03-27,Active
P000078,C06688,Health,8459.52,507435,2025-11-15,2026-11-15,Active
P000079,C08576,Health,20824.4,838861,2025-09-14,2026-09-14,Active
P000080,C02021,Health,6366.89,520278,2025-07-19,2026-07-19,Expired
P000081,C09055,Life,73206.27,3500715,2025-03-21,2026-03-21,Expired
P000082,C00953,Vehicle,8466.4,455287,2025-04-15,2026-04-15,Active
P000083,C05360,Life,46705.17,1669324,2026-02-26,2027-02-26,Active
P000084,C03858,Life,46518.49,2724590,2024-07-24,2025-07-24,Active
P000085,C05862,Health,45021.7,1801621,2022-04-01,2023-04-01,Expired
P000086,C03146,Life,110016.53,3726327,2026-07-28,2027-07-28,Expired
P000087,C03306,Health,7499.87,551980,2020-12-22,2021-12-22,Expired
P000088,C03007,Health,35510.0,1363425,2026-04-21,2027-04-21,Expired
P000089,C09002,Health,13968.82,1059532,2022-12-30,2023-12-30,Active
P000090,C07771,Health,15792.59,581211,2026-07-15,2027-07-15,Active
P000091,C07439,Health,24900.51,1465325,2025-02-11,2026-02-11,Expired
P000092,C07943,Vehicle,5590.14,533752,2022-08-10,2023-08-10,Active
P000093,C09239,Life,63507.09,2164686,2020-10-21,2021-10-21,Active
P000094,C01057,Life,181775.3,7705490,2024-07-12,2025-07-12,Expired
P000095,C03155,Vehicle,4048.22,328941,2024-03-25,2025-03-25,Expired
P000096,C03788,Life,58710.79,5453786,2026-07-03,2027-07-03,Active
P000097,C09190,Life,117285.81,6262632,2022-10-02,2023-10-02,Expired
P000098,C07826,Life,63230.53,4188992,2021-07-11,2022-07-11,Active
P000099,C07540,Health,38672.91,1629215,2024-01-08,2025-01-08,Expired
P000100,C07232,Vehicle,8756.4,506606,2026-03-13,2027-03-13,Active
P000101,C00765,Health,26786.78,1192479,2021-08-04,2022-08-04,Active
P000102,C05020,Life,121631.61,6038571,2026-08-05,2027-08-05,Active
P000103,C04904,Life,125691.68,5960271,2026-07-31,2027-07-31,Active
P000104,C08094,Life,173324.79,7361002,2023-12-14,2024-12-14,Expired
P000105,C06844,Vehicle,11155.02,615568,2026-06-19,2027-06-19,Expired
P000106,C02166,Life,84178.68,4526280,2026-05-07,2027-05-07,Active
P000107,C01863,Life,165777.07,8801207,2023-05-09,2024-05-09,Active
P000108,C07851,Vehicle,11077.08,477934,2021-11-23,2022-11-23,Active
P000109,C09124,Life,78606.3,6623525,2026-02-08,2027-02-08,Expired
P000110,C02341,Life,89971.01,6207974,2026-05-25,2027-05-25,Active
P000111,C05528,Life,151592.26,5107776,2023-06-07,2024-06-07,Active
P000112,C06744,Life,158026.65,8640615,2025-06-04,2026-06-04,Active
P000113,C04004,Vehicle,13973.58,702630,2025-07-01,2026-07-01,Active
P000114,C01124,Life,30444.27,1093026,2025-09-17,2026-09-17,Expired
P000115,C08710,Health,20006.73,1391596,2025-03-26,2026-03-26,Expired
P000116,C04050,Life,96770.79,8793853,2025-10-02,2026-10-02,Active
P000117,C07641,Health,18458.91,1457269,2026-03-12,2027-03-12,Active
P000118,C00766,Health,36635.23,1672151,2026-07-29,2027-07-29,Expired
P000119,C02345,Health,46941.13,1784825,2026-03-31,2027-03-31,Expired
P000120,C04072,Vehicle,16543.75,874485,2025-01-03,2026-01-03,Active
P000121,C07217,Vehicle,11720.89,771932,2026-07-18,2027-07-18,Active
P000122,C04217,Health,31374.07,1593244,2025-11-24,2026-11-24,Active
P000123,C07953,Life,85109.03,5793722,2024-11-25,2025-11-25,Active
P000124,C05971,Vehicle,4908.98,384491,2021-07-01,2022-07-01,Active
P000125,C03351,Vehicle,5917.01,524345,2023-08-30,2024-08-30,Active
P000126,C04696,Life,89687.39,7975534,2026-06-28,2027-06-28,Expired
P000127,C03400,Vehicle,26389.21,912451,2024-09-21,2025-09-21,Active
P000128,C04082,Vehicle,15911.21,903655,2020-06-19,2021-06-19,Active
P000129,C09150,Vehicle,19190.0,708930,2025-11-08,2026-11-08,Expired
P000130,C01225,Life,92894.07,4700025,2025-10-23,2026-10-23,Active
P000131,C06293,Life,125819.79,7523941,2025-06-11,2026-06-11,Active
P000132,C03123,Life,101047.08,3768991,2026-05-18,2027-05-18,Expired
P000133,C00511,Vehicle,9064.55,860069,2024-04-24,2025-04-24,Active
P000134,C05795,Vehicle,3835.58,328418,2026-03-29,2027-03-29,Active
P000135,C08182,Health,9697.26,881113,2025-12-15,2026-12-15,Active
P000136,C09418,Health,19856.22,1185445,2025-03-05,2026-03-05,Expired
P000137,C00097,Health,20824.15,1384085,2025-06-10,2026-06-10,Active
P000138,C06682,Health,18011.72,1631243,2024-01-29,2025-01-29,Expired
P000139,C01513,Life,55124.41,2151225,2025-02-17,2026-02-17,Active
P000140,C08792,Vehicle,7822.98,559295,2023-10-26,2024-10-26,Active
P000141,C00120,Vehicle,8418.42,432352,2023-09-01,2024-09-01,Active
P000142,C07792,Vehicle,18894.52,787623,2019-10-05,2020-10-05,Active
P000143,C06518,Life,74662.45,2921542,2026-01-06,2027-01-06,Active
P000144,C00034,Health,18015.94,1713589,2021-10-24,2022-10-24,Active
P000145,C07888,Life,130850.67,7296605,2026-06-10,2027-06-10,Active
P000146,C06831,Life,61084.99,5074336,2023-02-15,2024-02-15,Active
P000147,C05422,Health,45932.49,1759154,2026-06-03,2027-06-03,Active
P000148,C01069,Life,28618.97,1689025,2024-06-09,2025-06-09,Active
P000149,C01348,Health,35828.04,1561076,2022-03-24,2023-03-24,Active
P000150,C04748,Life,111712.46,9224219,2021-02-20,2022-02-20,Expired
P000151,C06006,Life,210389.13,8713146,2023-06-01,2024-06-01,Active
P000152,C06040,Health,28710.34,1864108,2021-02-14,2022-02-14,Expired
P000153,C03818,Life,175833.62,9111742,2023-04-18,2024-04-18,Expired
P000154,C08447,Life,173218.61,6407373,2020-04-08,2021-04-08,Expired
P000155,C05270,Health,21503.6,1445400,2025-05-29,2026-05-29,Active
P000156,C06898,Life,123090.57,7358385,2026-01-19,2027-01-19,Active
P000157,C05310,Life,130741.36,9179730,2025-10-17,2026-10-17,Active
P000158,C00032,Life,118988.01,5635017,2025-04-14,2026-04-14,Active
P000159,C05675,Life,123210.02,5049282,2026-01-21,2027-01-21,Active
P000160,C04387,Life,205976.41,8987516,2025-10-13,2026-10-13,Active
P000161,C00030,Health,11042.21,695147,2023-07-10,2024-07-10,Active
P000162,C04203,Health,40935.26,1892425,2023-05-29,2024-05-29,Active
P000163,C07508,Vehicle,22334.92,746173,2021-05-14,2022-05-14,Active
P000164,C00736,Health,22380.81,1451572,2026-04-10,2027-04-10,Active
P000165,C02068,Life,69012.12,4231028,2024-04-26,2025-04-26,Active
P000166,C00107,Health,26684.9,1947377,2025-11-17,2026-11-17,Active
P000167,C09645,Vehicle,27117.18,918226,2026-04-10,2027-04-10,Active
P000168,C08895,Health,18945.12,710818,2025-01-17,2026-01-17,Active
P000169,C08021,Health,11659.87,1133901,2024-01-25,2025-01-25,Active
P000170,C02233,Health,12942.6,614349,2023-12-19,2024-12-19,Active
P000171,C00994,Vehicle,9818.84,814723,2025-02-26,2026-02-26,Active
P000172,C09413,Health,28288.1,1503936,2022-10-30,2023-10-30,Active
P000173,C07059,Life,110719.48,9014965,2025-10-28,2026-10-28,Active
P000174,C06790,Health,38629.32,1710101,2025-05-04,2026-05-04,Active
P000175,C00361,Health,48701.06,1680360,2026-07-14,2027-07-14,Active
P000176,C00305,Health,42241.59,1670363,2026-05-13,2027-05-13,Active
P000177,C02628,Life,122119.62,4786401,2023-04-17,2024-04-17,Active
P000178,C08966,Vehicle,16642.92,611797,2023-11-22,2024-11-22,Expired
P000179,C04514,Life,44618.17,2010496,2025-09-03,2026-09-03,Active
P000180,C05911,Vehicle,11657.66,517881,2026-03-08,2027-03-08,Active
P000181,C08314,Health,13517.14,1003033,2020-04-28,2021-04-28,Active
P000182,C03101,Life,203577.45,8558197,2025-11-15,2026-11-15,Active
P000183,C05704,Life,140817.88,5833597,2024-09-03,2025-09-03,Active
P000184,C03899,Health,28479.58,1941550,2026-05-04,2027-05-04,Active
P000185,C05441,Health,40336.67,1736878,2025-06-05,2026-06-05,Expired
P000186,C07931,Life,109522.82,4771676,2025-06-15,2026-06-15,Expired
P000187,C00622,Vehicle,4195.92,374878,2023-09-19,2024-09-19,Active
P000188,C07236,Life,109732.23,5842082,2022-04-15,2023-04-15,Active
P000189,C02499,Health,38782.63,1344121,2026-06-07,2027-06-07,Active
P000190,C00714,Life,51598.72,2349590,2026-08-01,2027-08-01,Expired
P000191,C08404,Vehicle,14002.45,933039,2022-06-11,2023-06-11,Active
P000192,C02856,Vehicle,19636.46,903139,2020-02-09,2021-02-09,Active
P000193,C04270,Life,118853.05,5521644,2026-08-03,2027-08-03,Active
P000194,C02909,Health,36579.91,1588346,2025-11-18,2026-11-18,Expired
P000195,C08081,Health,32335.29,1727525,2026-08-02,2027-08-02,Expired
P000196,C04517,Vehicle,13445.97,792841,2025-10-03,2026-10-03,Active
P000197,C01262,Life,61375.48,3698193,2026-06-25,2027-06-25,Active
P000198,C03161,Health,35198.55,1339809,2025-08-30,2026-08-30,Active
P000199,C00971,Vehicle,9477.14,629795,2021-03-30,2022-03-30,Active
P000200,C03913,Health,41846.13,1579186,2021-12-22,2022-12-22,Active
P000201,C05199,Health,26828.18,1468834,2026-04-16,2027-04-16,Active
P000202,C08847,Life,210751.38,9363326,2026-03-25,2027-03-25,Active
P000203,C00260,Health,20846.12,1651797,2023-09-24,2024-09-24,Active
P000204,C03791,Vehicle,10045.44,808257,2023-03-29,2024-03-29,Expired
P000205,C09203,Health,24240.25,1001843,2021-10-11,2022-10-11,Active
P000206,C00488,Life,93073.89,7844947,2023-04-03,2024-04-03,Expired
P000207,C07908,Vehicle,22685.95,783863,2026-01-14,2027-01-14,Active
P000208,C00519,Life,118978.78,5896624,2024-11-05,2025-11-05,Active
P000209,C08343,Health,22167.88,1490316,2025-02-23,2026-02-23,Active
P000210,C00312,Health,35429.28,1756985,2024-11-27,2025-11-27,Expired
P000211,C03232,Health,27472.78,1079332,2026-07-27,2027-07-27,Expired
P000212,C07933,Vehicle,12771.91,832401,2025-09-22,2026-09-22,Active
P000213,C07458,Health,37384.72,1730897,2023-06-06,2024-06-06,Active
P000214,C09784,Vehicle,15957.54,768238,2025-08-20,2026-08-20,Active
P000215,C05184,Life,140025.51,7328534,2026-05-09,2027-05-09,Active
P000216,C08077,Life,107318.93,5006492,2025-08-03,2026-08-03,Active
P000217,C06502,Health,9679.6,591535,2025-11-09,2026-11-09,Active
P000218,C06791,Health,23029.17,1299499,2026-05-12,2027-05-12,Active
P000219,C07773,Vehicle,9146.93,459493,2024-05-28,2025-05-28,Active
P000220,C02738,Health,28915.11,1737698,2025-09-03,2026-09-03,Active
P000221,C07842,Health,14550.24,709110,2026-02-13,2027-02-13,Active
P000222,C06262,Health,37283.54,1359787,2025-04-26,2026-04-26,Expired
P000223,C08206,Life,91341.86,5446344,2020-03-05,2021-03-05,Active
P000224,C01248,Vehicle,17432.36,644525,2023-11-08,2024-11-08,Expired
P000225,C09336,Life,142262.72,6312692,2022-12-05,2023-12-05,Expired
P000226,C04195,Life,35809.79,1602286,2024-02-05,2025-02-05,Active
P000227,C08001,Health,33023.54,1102677,2025-03-07,2026-03-07,Active
P000228,C07378,Life,66839.95,2651601,2021-04-26,2022-04-26,Active
P000229,C03435,Life,90532.44,3791137,2026-03-15,2027-03-15,Expired
P000230,C05382,Life,30806.85,1941524,2026-01-06,2027-01-06,Active
P000231,C00959,Vehicle,15631.98,856968,2025-11-26,2026-11-26,Active
P000232,C00417,Health,10041.01,867147,2025-09-08,2026-09-08,Expired
P000233,C05742,Life,100573.9,5040453,2024-07-23,2025-07-23,Active
P000234,C06728,Vehicle,14610.44,968891,2023-06-30,2024-06-30,Active
P000235,C04382,Vehicle,22078.94,787853,2022-05-03,2023-05-03,Active
P000236,C05197,Life,243117.39,8410995,2026-06-28,2027-06-28,Expired
P000237,C01113,Life,193276.49,8118722,2025-11-12,2026-11-12,Active
P000238,C02689,Health,35369.69,1306760,2024-10-02,2025-10-02,Active
P000239,C06473,Life,150953.79,7022335,2026-03-17,2027-03-17,Expired
P000240,C08820,Life,118348.63,7640518,2025-08-19,2026-08-19,Active
P000241,C07808,Vehicle,9914.55,351426,2019-10-29,2020-10-29,Active
P000242,C03411,Vehicle,15311.34,600096,2024-11-19,2025-11-19,Active
P000243,C00081,Vehicle,12040.01,529642,2022-09-15,2023-09-15,Active
P000244,C04614,Life,74346.45,3294774,2023-02-12,2024-02-12,Expired
P000245,C01374,Life,159350.42,6183033,2025-02-21,2026-02-21,Active
P000246,C01510,Health,9154.03,775590,2024-01-10,2025-01-10,Active
P000247,C06443,Life,55317.25,3946751,2026-01-21,2027-01-21,Active
P000248,C03071,Vehicle,14094.41,683629,2026-07-21,2027-07-21,Expired
P000249,C03016,Health,29381.25,1038905,2021-04-11,2022-04-11,Expired
P000250,C04823,Health,27896.9,1118956,2025-05-29,2026-05-29,Active
P000251,C07822,Life,29004.67,2263313,2019-11-20,2020-11-20,Expired
P000252,C00093,Vehicle,21032.31,716716,2026-08-05,2027-08-05,Expired
P000253,C09421,Vehicle,7336.1,713741,2025-11-13,2026-11-13,Active
P000254,C06600,Life,117096.44,5398338,2026-01-16,2027-01-16,Expired
P000255,C04443,Vehicle,9718.46,413609,2025-04-21,2026-04-21,Active
P000256,C07602,Life,184069.09,6503032,2025-03-27,2026-03-27,Active
P000257,C03835,Life,247745.43,8789116,2025-12-02,2026-12-02,Active
P000258,C09702,Life,36484.45,3345069,2023-07-28,2024-07-28,Active
P000259,C04322,Vehicle,5037.45,421761,2026-07-15,2027-07-15,Expired
P000260,C03394,Health,25283.01,1451359,2026-05-19,2027-05-19,Expired
P000261,C04752,Life,174665.57,8031780,2026-07-05,2027-07-05,Active
P000262,C07229,Vehicle,11821.51,986735,2022-07-11,2023-07-11,Active
P000263,C09191,Life,60657.85,5693260,2023-02-25,2024-02-25,Active
P000264,C02361,Health,26977.9,995164,2026-07-03,2027-07-03,Active
P000265,C01148,Vehicle,24415.11,870913,2024-04-07,2025-04-07,Active
P000266,C05666,Life,77652.05,5628522,2026-03-29,2027-03-29,Active
P000267,C08075,Vehicle,9192.3,776805,2024-10-31,2025-10-31,Active
P000268,C04943,Life,14957.21,1358318,2024-02-09,2025-02-09,Active
P000269,C03663,Vehicle,12580.9,892002,2025-07-01,2026-07-01,Expired
P000270,C01563,Life,121406.51,4623062,2021-09-18,2022-09-18,Active
P000271,C04113,Health,17597.88,1749864,2026-04-18,2027-04-18,Expired
P000272,C09050,Life,66176.55,3180906,2025-04-10,2026-04-10,Active
P000273,C09276,Life,18101.4,1432519,2026-01-08,2027-01-08,Active
P000274,C08538,Health,28583.45,1734914,2022-10-18,2023-10-18,Active
P000275,C00795,Vehicle,15214.98,741409,2024-09-04,2025-09-04,Active
P000276,C05854,Vehicle,13772.44,679625,2025-12-16,2026-12-16,Active
P000277,C07619,Life,42402.33,1727544,2024-06-12,2025-06-12,Expired
P000278,C01594,Life,116124.66,6060517,2023-12-22,2024-12-22,Expired
P000279,C07418,Life,243483.31,9035982,2020-09-21,2021-09-21,Active
P000280,C05267,Life,96825.2,8441741,2024-07-21,2025-07-21,Active
P000281,C07147,Life,26324.66,2101965,2022-09-29,2023-09-29,Active
P000282,C00089,Life,113737.2,6455706,2024-07-20,2025-07-20,Active
P000283,C08695,Health,34494.11,1560217,2026-06-29,2027-06-29,Active
P000284,C09732,Health,43114.07,1873032,2025-09-21,2026-09-21,Active
P000285,C09446,Health,17688.74,950936,2023-03-19,2024-03-19,Expired
P000286,C06754,Life,154733.46,8608449,2023-07-02,2024-07-02,Active
P000287,C03502,Life,145481.78,6243275,2024-09-08,2025-09-08,Active
P000288,C02234,Life,101595.06,8956894,2026-04-09,2027-04-09,Expired
P000289,C02803,Life,65218.5,2620082,2025-11-14,2026-11-14,Active
P000290,C04424,Health,13597.96,625789,2023-11-18,2024-11-18,Active
P000291,C05663,Health,13777.57,756337,2025-09-06,2026-09-06,Expired
P000292,C07170,Vehicle,20343.01,743481,2026-05-17,2027-05-17,Active
P000293,C08337,Vehicle,15104.64,929575,2022-11-09,2023-11-09,Active
P000294,C02148,Life,83191.11,3595941,2021-01-07,2022-01-07,Active
P000295,C07969,Life,88133.37,7166651,2026-06-13,2027-06-13,Active
P000296,C06551,Vehicle,20176.14,749956,2026-05-05,2027-05-05,Expired
P000297,C07643,Health,41987.93,1786756,2024-11-24,2025-11-24,Active
P000298,C06164,Life,58047.62,5487028,2023-01-10,2024-01-10,Active
P000299,C01495,Vehicle,11171.06,656331,2026-08-03,2027-08-03,Active
P000300,C07696,Health,33843.39,1878551,2024-09-16,2025-09-16,Active
P000301,C07094,Life,17922.45,1514340,2026-05-24,2027-05-24,Active
P000302,C01409,Health,24408.92,1451364,2023-01-05,2024-01-05,Active
P000303,C06691,Health,37059.58,1690329,2024-12-23,2025-12-23,Expired
P000304,C03401,Health,19744.17,1795700,2025-12-12,2026-12-12,Active
P000305,C00109,Life,159948.98,8113787,2026-03-12,2027-03-12,Active
P000306,C05636,Vehicle,10278.18,837234,2025-02-26,2026-02-26,Active
P000307,C08482,Life,188223.51,9164342,2024-02-22,2025-02-22,Active
P000308,C06604,Life,19485.92,1919088,2026-01-27,2027-01-27,Active
P000309,C01091,Health,19918.17,787802,2022-04-21,2023-04-21,Active
P000310,C05560,Vehicle,20489.59,821546,2020-12-18,2021-12-18,Active
P000311,C09412,Life,97237.84,4860617,2024-11-28,2025-11-28,Expired
P000312,C08143,Vehicle,6738.37,375576,2023-06-28,2024-06-28,Active
P000313,C08664,Health,41616.58,1464174,2026-06-06,2027-06-06,Expired
P000314,C06596,Vehicle,16302.28,901253,2021-11-17,2022-11-17,Active
P000315,C00624,Health,14057.02,1349414,2025-11-30,2026-11-30,Active
P000316,C06871,Vehicle,18206.34,948151,2025-01-18,2026-01-18,Active
P000317,C04814,Vehicle,20380.37,757925,2026-07-24,2027-07-24,Active
P000318,C06553,Life,113306.41,9790632,2025-08-28,2026-08-28,Expired
P000319,C07530,Life,78597.73,4717362,2026-03-15,2027-03-15,Active
P000320,C05796,Life,60044.05,2913049,2025-10-29,2026-10-29,Active
P000321,C07437,Life,169144.53,6890476,2023-12-11,2024-12-11,Expired
P000322,C04218,Health,12001.73,995491,2023-09-16,2024-09-16,Active
P000323,C05941,Vehicle,11601.42,460295,2024-01-04,2025-01-04,Active
P000324,C08501,Health,36124.3,1816904,2025-05-15,2026-05-15,Active
P000325,C06429,Health,34050.24,1441422,2020-11-09,2021-11-09,Expired
P000326,C06827,Health,29795.48,1809717,2025-08-13,2026-08-13,Expired
P000327,C04131,Vehicle,8650.73,761124,2026-02-21,2027-02-21,Active
P000328,C07802,Life,122419.29,5608259,2025-06-24,2026-06-24,Active
P000329,C07754,Vehicle,14929.28,784172,2026-07-29,2027-07-29,Active
P000330,C04722,Health,15130.57,660916,2022-08-18,2023-08-18,Expired
P000331,C01651,Life,168178.79,9507186,2025-01-20,2026-01-20,Active
P000332,C04141,Vehicle,6515.46,343015,2025-10-09,2026-10-09,Expired
P000333,C01618,Life,141315.28,6394323,2024-07-05,2025-07-05,Active
P000334,C02030,Vehicle,9322.98,772407,2024-08-07,2025-08-07,Expired
P000335,C08518,Life,48515.86,2414808,2026-06-23,2027-06-23,Active
P000336,C04576,Health,42285.71,1418045,2020-05-04,2021-05-04,Active
P000337,C03993,Vehicle,11898.26,681574,2026-06-08,2027-06-08,Active
P000338,C07377,Life,157426.65,6676858,2026-06-04,2027-06-04,Active
P000339,C06150,Health,13602.37,1201810,2023-07-08,2024-07-08,Active
P000340,C04909,Life,86738.13,5767195,2026-05-15,2027-05-15,Expired
P000341,C05027,Vehicle,25597.3,931977,2025-11-07,2026-11-07,Active
P000342,C08261,Life,95567.31,3372774,2022-12-12,2023-12-12,Active
P000343,C04732,Vehicle,17737.46,994299,2026-07-29,2027-07-29,Active
P000344,C07549,Vehicle,13228.48,624620,2024-03-07,2025-03-07,Active
P000345,C08135,Health,17973.03,768002,2024-01-13,2025-01-13,Expired
P000346,C01607,Health,54730.04,1937418,2024-05-27,2025-05-27,Active
P000347,C04774,Health,26998.95,1566377,2024-09-23,2025-09-23,Active
P000348,C08110,Health,15979.35,949194,2026-04-16,2027-04-16,Active
P000349,C06952,Health,10328.42,788495,2024-10-19,2025-10-19,Active
P000350,C06005,Life,241914.03,9517619,2022-05-07,2023-05-07,Expired
P000351,C07729,Vehicle,7891.38,339581,2025-01-19,2026-01-19,Expired
P000352,C03542,Life,95786.66,7320310,2026-01-27,2027-01-27,Active
P000353,C00389,Health,47391.96,1810175,2021-03-05,2022-03-05,Active
P000354,C01795,Life,136439.39,7893063,2024-12-02,2025-12-02,Active
P000355,C08732,Health,27951.46,1780511,2021-07-25,2022-07-25,Active
P000356,C04920,Vehicle,12712.97,859951,2025-06-26,2026-06-26,Expired
P000357,C05538,Health,15740.57,906881,2026-04-09,2027-04-09,Expired
P000358,C03873,Health,37276.12,1468213,2026-07-09,2027-07-09,Active
P000359,C08869,Life,235305.63,8023963,2026-04-08,2027-04-08,Expired
P000360,C02255,Vehicle,12223.04,445121,2026-01-29,2027-01-29,Active
P000361,C03413,Life,152442.41,7227905,2021-07-11,2022-07-11,Active
P000362,C05460,Health,11956.01,761468,2021-01-07,2022-01-07,Active
P000363,C04956,Vehicle,10853.31,838289,2026-03-28,2027-03-28,Active
P000364,C07397,Health,25429.41,965647,2023-05-20,2024-05-20,Expired
P000365,C05415,Vehicle,8133.43,735050,2026-02-04,2027-02-04,Active
P000366,C07400,Vehicle,6746.78,385569,2026-03-11,2027-03-11,Active
P000367,C07415,Health,45971.82,1998843,2026-04-24,2027-04-24,Active
P000368,C09101,Vehicle,17031.83,600814,2024-10-08,2025-10-08,Active
