Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,EMI,Remaining_Balance,Loan_Status,Start_Date,End_Date
L000039,C06247,Personal,222967,11.73,4929.41,0.0,Closed,2019-12-02,2024-12-02
L000040,C02891,Personal,1054221,12.64,12081.63,729841.97,Active,2019-09-21,2039-09-21
L000041,C07626,Auto,555674,11.49,12217.93,314649.31,Active,2023-12-04,2028-12-04
L000042,C08471,Auto,960320,8.73,19809.06,0.0,Closed,2021-10-26,2026-10-26
L000043,C09155,Personal,242524,15.56,3996.35,58419.84,Active,2024-01-31,2034-01-31
L000044,C03908,Personal,1314081,14.96,31234.31,645778.03,Active,2026-07-20,2031-07-20
L000045,C09712,Personal,646865,12.03,7775.96,402964.49,Active,2025-04-28,2040-04-28
L000046,C07095,Personal,729139,13.93,16939.34,339187.09,Active,2024-06-30,2029-06-30
L000047,C03392,Personal,309675,11.05,4274.54,249994.56,Active,2025-07-25,2035-07-25
L000048,C08373,Home,1572132,10.14,17029.12,932700.01,Active,2026-02-03,2041-02-03
L000049,C05245,Auto,934424,10.95,20293.35,478218.02,Active,2022-06-03,2027-06-03
L000050,C05773,Auto,734473,12.26,10648.24,203596.73,Active,2026-05-17,2036-05-17
L000051,C04615,Home,4107983,8.32,50538.49,3111722.69,Active,2023-01-14,2033-01-14
L000052,C05627,Auto,1407228,10.52,15572.94,0.0,Closed,2026-01-11,2041-01-11
L000053,C04600,Auto,687127,11.04,7827.13,457977.31,Active,2025-11-03,2040-11-03
L000054,C01291,Personal,649360,11.71,7019.16,390018.06,Active,2026-02-16,2046-02-16
L000055,C09393,Education,515595,10.84,7055.71,162816.39,Active,2020-01-15,2030-01-15
L000056,C03637,Personal,410575,13.72,9493.87,111147.97,Active,2026-07-25,2031-07-25
L000057,C04401,Home,5110048,7.62,47719.91,3706466.94,Active,2026-07-16,2041-07-16
L000058,C07746,Personal,1274160,17.13,18815.45,0.0,Closed,2025-08-19,2045-08-19
L000059,C07479,Home,5471793,10.09,72583.13,0.0,Closed,2026-04-27,2036-04-27
L000060,C08308,Home,2893286,9.85,27633.91,0.0,Closed,2026-03-09,2046-03-09
L000061,C03552,Auto,820444,9.57,17258.93,716159.64,Active,2026-08-05,2031-08-05
L000062,C00980,Personal,518534,16.62,7456.38,168847.39,Active,2025-04-29,2045-04-29
L000063,C02824,Home,2435009,7.57,28993.03,1716627.43,Active,2026-01-17,2036-01-17
L000064,C08345,Personal,685367,13.13,8093.15,212078.04,Active,2021-10-22,2041-10-22
L000065,C00676,Education,315765,8.35,3081.76,71434.25,Active,2021-04-17,2036-04-17
L000066,C07998,Home,2409346,9.29,24854.58,1639381.37,Active,2023-12-15,2038-12-15
L000067,C03734,Personal,1172531,11.37,16398.17,473527.0,Active,2025-09-14,2035-09-14
L000068,C08597,Home,2470535,9.92,32538.95,2102470.58,Active,2026-07-28,2036-07-28
L000069,C06374,Personal,792479,15.17,18923.81,546631.74,Active,2023-12-21,2028-12-21
L000070,C09827,Education,1912924,8.98,19379.4,1464748.74,Active,2025-04-19,2040-04-19
L000071,C00556,Auto,1890250,11.21,26263.4,1303015.65,Active,2026-07-26,2036-07-26
L000072,C00319,Personal,100851,12.78,1492.76,49821.47,Active,2023-10-26,2033-10-26
L000073,C08341,Personal,1075150,13.81,16570.87,370265.77,Active,2025-03-19,2035-03-19
L000074,C05567,Auto,1011737,11.14,11588.47,462304.52,Active,2024-09-26,2039-09-26
L000075,C06172,Home,4650501,8.2,44981.22,3537213.13,Active,2022-04-06,2037-04-06
L000076,C05054,Home,3553888,10.45,76298.92,994037.27,Active,2023-12-15,2028-12-15
L000077,C08474,Auto,1910522,10.48,25758.24,799867.38,Active,2024-08-29,2034-08-29
L000078,C02021,Home,1951118,9.81,41273.32,0.0,Closed,2023-02-20,2028-02-20
L000079,C09211,Home,3672472,8.89,46302.98,0.0,Closed,2023-07-31,2033-07-31
L000080,C00382,Personal,379632,16.51,5711.23,0.0,Closed,2024-05-14,2039-05-14
L000081,C01086,Home,3617193,8.78,32034.8,0.0,Closed,2021-01-29,2041-01-29
L000082,C01334,Personal,1095464,13.88,16929.93,0.0,Closed,2026-04-25,2036-04-25
L000083,C04485,Home,2593244,8.95,32779.99,2193266.33,Active,2025-11-12,2035-11-12
L000084,C06377,Home,2639655,8.51,54169.29,1948374.14,Active,2022-04-22,2027-04-22
L000085,C06070,Auto,1197383,8.76,10589.04,687121.81,Active,2023-07-23,2043-07-23
L000086,C09619,Education,1962209,9.17,40894.32,0.0,Closed,2025-11-12,2030-11-12
L000087,C01555,Home,3095433,8.93,31267.17,1940865.42,Active,2025-08-17,2040-08-17
L000088,C03749,Auto,2057502,10.65,27936.0,1458656.34,Active,2023-01-14,2033-01-14
L000089,C09135,Personal,915492,13.02,10738.73,285309.45,Active,2026-05-31,2046-05-31
L000090,C07545,Auto,413105,12.13,9216.45,247851.05,Active,2026-03-29,2031-03-29
L000091,C02039,Auto,1062226,8.7,9353.14,617907.99,Active,2025-07-21,2045-07-21
L000092,C01741,Education,1790170,8.83,15911.42,1508514.74,Active,2023-11-19,2043-11-19
L000093,C04304,Education,2462487,8.16,23760.83,2097958.01,Active,2025-05-13,2040-05-13
L000094,C07454,Auto,468854,11.52,6597.24,415279.92,Active,2026-02-18,2036-02-18
L000095,C04200,Home,2558818,8.92,53017.56,1912524.09,Active,2024-03-13,2029-03-13
L000096,C05684,Personal,873629,11.76,19327.61,0.0,Closed,2025-01-14,2030-01-14
L000097,C02775,Education,1504591,8.32,30738.62,0.0,Closed,2023-11-27,2028-11-27
L000098,C09232,Personal,887075,13.47,13492.03,369528.75,Active,2026-07-25,2036-07-25
L000099,C07466,Personal,313702,15.73,4548.43,0.0,Closed,2021-06-05,2036-06-05
L000100,C06716,Personal,353870,16.47,8694.05,212369.91,Active,2023-12-11,2028-12-11
L000101,C00609,Home,3622153,9.44,75965.79,0.0,Closed,2025-11-16,2030-11-16
L000102,C00716,Home,1610665,8.8,16145.36,515259.6,Active,2019-01-08,2034-01-08
L000103,C03696,Personal,1013282,11.82,12043.99,259671.39,Active,2022-11-14,2037-11-14
L000104,C01393,Personal,1074910,13.77,14149.3,782699.35,Active,2024-10-24,2039-10-24
L000105,C06484,Auto,1469909,12.03,21114.42,0.0,Closed,2023-05-01,2033-05-01
L000106,C06702,Auto,1889596,9.85,18047.62,0.0,Closed,2024-02-03,2044-02-03
L000107,C00278,Personal,544847,13.16,6951.09,154614.51,Active,2021-09-18,2036-09-18
L000108,C05366,Home,3817508,9.17,48710.5,1511533.65,Active,2023-12-16,2033-12-16
L000109,C02143,Personal,603995,15.68,8258.45,536305.11,Active,2024-11-18,2044-11-18
L000110,C05599,Personal,948090,15.69,13720.23,608375.78,Active,2021-04-23,2036-04-23
L000111,C01071,Personal,820911,13.69,10761.97,478080.77,Active,2026-03-17,2041-03-17
L000112,C07600,Home,3433893,7.86,41409.01,1304821.84,Active,2026-07-27,2036-07-27
L000113,C06703,Home,3053149,8.07,25670.93,1487766.43,Active,2025-03-24,2045-03-24
L000114,C02125,Personal,1351560,12.62,30489.87,0.0,Closed,2024-08-22,2029-08-22
L000115,C09444,Personal,856822,11.85,18994.65,695218.45,Active,2023-03-17,2028-03-17
L000116,C07060,Home,1528587,9.16,19496.1,570232.47,Active,2021-01-05,2031-01-05
L000117,C05874,Education,225722,9.72,2136.56,149316.42,Active,2024-10-31,2044-10-31
L000118,C08772,Auto,1358971,12.26,15210.5,1160914.02,Active,2023-07-16,2043-07-16
L000119,C02587,Personal,1310101,15.22,31318.71,435216.27,Active,2026-04-26,2031-04-26
L000120,C07822,Auto,657274,12.48,14780.62,400068.35,Active,2023-05-06,2028-05-06
L000121,C06587,Auto,1246600,11.6,13380.11,735612.8,Active,2023-03-05,2043-03-05
L000122,C05453,Auto,1199321,9.72,25317.11,458065.65,Active,2026-03-13,2031-03-13
L000123,C06982,Auto,1171525,11.0,13315.52,925575.08,Active,2026-02-01,2041-02-01
L000124,C07078,Home,1657422,7.97,13832.41,802742.78,Active,2025-09-14,2045-09-14
L000125,C06463,Personal,585440,12.66,7276.74,340830.33,Active,2025-12-17,2040-12-17
L000126,C02790,Personal,654811,16.41,11136.84,339720.09,Active,2026-05-18,2036-05-18
L000127,C03148,Auto,1414143,11.81,31321.22,488105.6,Active,2024-02-17,2029-02-17
L000128,C05498,Personal,1293713,17.41,19380.59,540675.53,Active,2022-07-06,2042-07-06
L000129,C04449,Auto,1441883,10.5,14395.47,694085.47,Active,2026-05-28,2046-05-28
L000130,C00561,Auto,1651914,10.91,35842.51,374426.51,Active,2026-01-26,2031-01-26
L000131,C01947,Auto,387012,12.5,4770.01,141578.16,Active,2022-05-21,2037-05-21
L000132,C04410,Home,2588346,9.45,26950.11,1268986.48,Active,2021-06-16,2036-06-16
L000133,C03533,Auto,2362447,12.38,26641.13,1575005.91,Active,2022-12-26,2042-12-26
L000134,C00547,Auto,974548,9.82,9288.67,232297.67,Active,2025-06-16,2045-06-16
L000135,C07509,Auto,453918,10.32,4967.07,371692.97,Active,2025-04-26,2040-04-26
L000136,C05630,Personal,1179186,16.69,29109.62,613394.26,Active,2021-10-21,2026-10-21
L000137,C08002,Home,2286778,9.06,20663.06,841549.45,Active,2025-08-28,2045-08-28
L000138,C05810,Home,3698037,10.28,36375.58,0.0,Closed,2025-09-25,2045-09-25
L000139,C09051,Personal,160543,17.8,2872.11,109566.57,Active,2026-02-23,2036-02-23
L000140,C04853,Personal,955618,11.2,20872.89,781479.26,Active,2026-02-08,2031-02-08
L000141,C05738,Auto,1345169,12.23,16343.87,953190.21,Active,2023-10-14,2038-10-14
L000142,C08749,Auto,2280633,9.47,29473.39,580859.65,Active,2025-03-08,2035-03-08
L000143,C03616,Auto,872557,11.96,10449.71,0.0,Closed,2026-04-26,2041-04-26
L000144,C09781,Auto,1725540,12.24,20976.56,0.0,Closed,2024-11-01,2039-11-01
L000145,C08223,Home,6508935,10.01,62855.76,0.0,Closed,2025-10-23,2045-10-23
L000146,C08553,Personal,1115737,13.09,13143.31,752850.07,Active,2024-02-17,2044-02-17
L000147,C03557,Home,1545711,8.22,13141.38,552002.56,Active,2025-12-07,2045-12-07
L000148,C09023,Home,7747039,8.92,69304.03,3373198.83,Active,2026-06-28,2046-06-28
L000149,C04613,Auto,937975,10.48,20151.45,210343.23,Active,2019-07-06,2024-07-06
L000150,C08314,Personal,310479,17.06,4568.28,81559.98,Active,2025-12-11,2045-12-11
L000151,C08936,Home,2104631,8.73,26354.02,742792.25,Active,2026-06-27,2036-06-27
L000152,C06277,Personal,1407069,15.7,33993.3,0.0,Closed,2020-09-08,2025-09-08
L000153,C06034,Auto,1893874,12.32,21277.22,0.0,Closed,2026-06-17,2046-06-17
L000154,C06862,Home,2073954,8.2,20059.98,0.0,Closed,2024-07-21,2039-07-21
L000155,C07089,Home,5140416,10.44,110334.86,2129156.12,Active,2026-07-10,2031-07-10
L000156,C03066,Auto,492900,9.8,10424.23,314278.58,Active,2025-10-18,2030-10-18
L000157,C08307,Personal,1213936,13.59,18550.25,1025438.63,Active,2025-01-27,2035-01-27
L000158,C01690,Auto,1310113,10.49,17670.67,594092.7,Active,2021-08-25,2031-08-25
L000159,C03662,Auto,339415,12.1,3760.94,0.0,Closed,2021-07-23,2041-07-23
L000160,C09908,Personal,431298,11.05,4915.67,0.0,Closed,2026-06-11,2041-06-11
L000161,C08780,Education,1979680,10.07,19196.25,0.0,Closed,2023-04-24,2043-04-24
L000162,C06418,Home,2306760,10.06,49079.96,1152582.13,Active,2026-04-30,2031-04-30
L000163,C02020,Personal,719143,10.66,7257.23,362339.98,Active,2020-08-22,2040-08-22
L000164,C01689,Auto,505706,12.14,5617.7,0.0,Closed,2026-03-20,2046-03-20
L000165,C05889,Auto,1265186,10.93,14324.5,970280.77,Active,2026-07-21,2041-07-21
L000166,C08768,Home,3794774,9.38,79474.96,2244319.53,Active,2026-04-01,2031-04-01
L000167,C03702,Personal,375590,11.18,4311.49,228789.84,Active,2023-12-19,2038-12-19
L000168,C00285,Personal,1231220,17.07,19009.64,320805.6,Active,2026-08-01,2041-08-01
L000169,C07224,Auto,1377810,12.16,15324.84,0.0,Closed,2024-12-10,2044-12-10
L000170,C06898,Personal,810337,16.53,11597.28,0.0,Closed,2022-12-02,2042-12-02
L000171,C05752,Personal,573148,16.95,8385.15,0.0,Closed,2023-03-14,2043-03-14
L000172,C00658,Home,2267085,7.77,18639.59,1188857.98,Active,2025-06-17,2045-06-17
L000173,C00648,Auto,1399584,10.84,15767.3,1030548.22,Active,2026-06-24,2041-06-24
L000174,C01950,Personal,1277356,12.96,19042.17,581474.49,Active,2026-06-07,2036-06-07
L000175,C07151,Personal,733738,15.37,17598.4,174348.57,Active,2024-05-03,2029-05-03
L000176,C07528,Home,3566217,7.85,42985.91,0.0,Closed,2023-11-30,2033-11-30
L000177,C08945,Home,1975679,8.61,17283.2,773242.42,Active,2025-01-09,2045-01-09
L000178,C08793,Auto,715326,11.83,7791.74,0.0,Closed,2022-12-10,2042-12-10
L000179,C04229,Home,2277057,8.15,19259.34,0.0,Closed,2025-12-24,2045-12-24
L000180,C04159,Home,1552090,10.44,17099.1,334491.27,Active,2023-06-26,2038-06-26
L000181,C02135,Personal,934959,12.57,21067.95,0.0,Closed,2023-12-12,2028-12-12
L000182,C07449,Home,2269012,9.49,47642.39,1512395.41,Active,2024-08-21,2029-08-21
L000183,C05904,Auto,1160694,8.77,14559.09,384030.6,Active,2024-11-22,2034-11-22
L000184,C06866,Home,7995874,7.94,161897.99,1688571.13,Active,2026-07-15,2031-07-15
L000185,C01888,Auto,1351319,11.69,29848.09,1191801.06,Active,2024-12-04,2029-12-04
L000186,C01312,Home,1749489,9.27,36546.2,1510370.05,Active,2022-05-11,2027-05-11
L000187,C06629,Personal,1203281,11.35,26372.76,427631.72,Active,2023-04-04,2028-04-04
L000188,C09203,Personal,328702,13.89,5081.92,0.0,Closed,2022-08-11,2032-08-11
L000189,C01447,Personal,1481819,14.41,18869.6,1301325.37,Active,2026-06-28,2046-06-28
L000190,C04313,Auto,1984504,10.21,42370.19,522340.15,Active,2026-02-21,2031-02-21
L000191,C06914,Education,538859,8.97,6817.29,381236.71,Active,2021-05-27,2031-05-27
L000192,C02715,Personal,1249986,15.84,17240.63,0.0,Closed,2026-04-06,2046-04-06
L000193,C02113,Personal,1051510,14.29,13297.8,429809.35,Active,2022-06-01,2042-06-01
L000194,C02575,Auto,1665071,12.01,23898.56,463449.68,Active,2022-06-17,2032-06-17
L000195,C06041,Home,5304224,8.7,109336.28,3613415.08,Active,2025-05-29,2030-05-29
L000196,C02563,Home,1580026,9.56,14789.88,502068.55,Active,2022-02-16,2042-02-16
L000197,C07099,Home,3120082,9.73,33015.08,0.0,Closed,2022-04-26,2037-04-26
L000198,C02823,Auto,1682635,11.18,17574.56,730703.83,Active,2026-02-07,2046-02-07
L000199,C00114,Personal,207890,17.76,3312.07,103000.56,Active,2026-07-06,2041-07-06
L000200,C05971,Personal,1477275,14.12,34465.58,754317.54,Active,2021-04-25,2026-04-25
L000201,C08560,Home,1792099,9.22,16378.41,0.0,Closed,2026-08-01,2046-08-01
L000202,C06473,Auto,410116,10.94,4645.93,290653.61,Active,2026-06-29,2041-06-29
L000203,C02810,Personal,812663,13.13,12196.32,0.0,Closed,2023-04-27,2033-04-27
L000204,C00124,Personal,940505,11.02,20458.24,497209.37,Active,2020-04-26,2025-04-26
L000205,C08080,Home,3402728,8.52,33547.91,2289804.48,Active,2025-04-06,2040-04-06
L000206,C05512,Home,2750371,7.75,55439.12,1022848.91,Active,2026-03-14,2031-03-14
L000207,C05178,Education,542177,8.82,4815.52,320192.97,Active,2023-06-12,2043-06-12
L000208,C04616,Education,2348936,8.34,20147.37,998879.1,Active,2024-09-18,2044-09-18
L000209,C03677,Personal,1205060,15.5,28985.54,254132.74,Active,2026-05-13,2031-05-13
L000210,C02819,Personal,528706,12.76,7819.48,0.0,Closed,2025-06-26,2035-06-26
L000211,C01635,Personal,707014,12.96,16072.27,423177.21,Active,2023-04-29,2028-04-29
L000212,C08066,Education,1316906,10.11,14240.29,390811.54,Active,2026-07-30,2041-07-30
L000213,C06805,Education,278607,9.38,5834.94,0.0,Closed,2026-07-17,2031-07-17
L000214,C03265,Auto,1502506,10.12,14619.17,926260.97,Active,2025-01-16,2045-01-16
L000215,C02070,Home,1860444,9.9,17830.6,0.0,Closed,2026-03-12,2046-03-12
L000216,C05885,Auto,669643,10.25,14310.45,326645.22,Active,2026-01-22,2031-01-22
L000217,C04308,Personal,929982,17.03,14332.24,329787.88,Active,2025-04-24,2040-04-24
L000218,C06167,Home,2163984,7.84,26072.5,0.0,Closed,2025-08-27,2035-08-27
L000219,C02772,Personal,1453592,16.61,24905.01,1047781.45,Active,2026-06-08,2036-06-08
L000220,C03238,Home,2782364,9.78,58816.27,998886.31,Active,2026-04-27,2031-04-27
L000221,C05547,Auto,2182845,11.22,25112.53,0.0,Closed,2026-07-30,2041-07-30
L000222,C02413,Personal,416580,13.8,5119.86,286617.74,Active,2026-08-04,2046-08-04
L000223,C04242,Home,1735602,8.56,35658.74,1013001.98,Active,2023-09-24,2028-09-24
L000224,C03080,Home,2102044,7.73,42350.77,1145724.4,Active,2024-05-26,2029-05-26
L000225,C02291,Personal,1262485,17.66,31825.77,420570.19,Active,2026-04-22,2031-04-22
L000226,C02523,Personal,774290,15.04,12510.98,0.0,Closed,2023-06-22,2033-06-22
L000227,C01763,Auto,1020241,12.43,22917.01,794980.73,Active,2022-11-14,2027-11-14
L000228,C06033,Home,3336091,10.47,44959.52,858857.44,Active,2022-09-29,2032-09-29
L000229,C08019,Personal,809607,15.59,19512.13,0.0,Closed,2025-11-09,2030-11-09
L000230,C01596,Personal,238227,12.97,2785.92,93715.27,Active,2023-11-10,2043-11-10
L000231,C09943,Personal,1363955,17.05,21039.68,593963.56,Active,2023-04-01,2038-04-01
L000232,C09661,Auto,1601206,12.37,18045.42,646592.91,Active,2025-01-13,2045-01-13
L000233,C06104,Personal,1272144,13.33,16372.92,0.0,Closed,2026-06-26,2041-06-26
L000234,C03040,Personal,1203926,11.2,12591.07,1068169.65,Active,2026-03-16,2046-03-16
L000235,C04403,Home,1949194,8.53,16952.59,389870.7,Active,2020-11-16,2040-11-16
L000236,C04483,Personal,720320,16.83,17836.03,376122.63,Active,2025-02-23,2030-02-23
L000237,C02785,Personal,1204216,10.78,13521.19,0.0,Closed,2020-10-11,2035-10-11
L000238,C03439,Auto,1880077,9.12,23938.29,0.0,Closed,2019-08-02,2029-08-02
L000239,C04315,Personal,447160,15.91,10852.69,190734.29,Active,2024-04-16,2029-04-16
L000240,C02320,Home,3363104,9.33,30976.14,2463749.63,Active,2026-07-19,2046-07-19
L000241,C02825,Home,3144943,8.91,39685.79,745379.42,Active,2024-05-05,2034-05-05
L000242,C03017,Home,5372852,9.81,51174.65,3260984.94,Active,2023-01-17,2043-01-17
L000243,C07759,Personal,518796,16.51,8856.11,0.0,Closed,2019-03-30,2029-03-30
L000244,C08263,Personal,1107871,17.06,27569.2,596991.17,Active,2026-06-27,2031-06-27
L000245,C03015,Personal,275898,16.22,4094.51,149165.1,Active,2021-06-02,2036-06-02
L000246,C06299,Auto,684674,12.29,9938.21,0.0,Closed,2025-12-18,2035-12-18
L000247,C05344,Auto,411862,10.16,4018.32,302700.18,Active,2024-12-23,2044-12-23
L000248,C01233,Auto,1872497,9.4,19440.25,0.0,Closed,2024-04-13,2039-04-13
L000249,C04583,Auto,1706309,11.67,24156.18,439925.16,Active,2024-07-03,2034-07-03
L000250,C02045,Personal,391069,16.19,5496.59,350524.59,Active,2026-01-14,2046-01-14
L000251,C07009,Home,3646845,8.15,44535.87,1425681.72,Active,2023-07-26,2033-07-26
L000252,C07621,Auto,766351,11.6,10818.44,664100.91,Active,2023-07-22,2033-07-22
L000253,C04882,Home,2458636,7.69,20093.22,2184486.42,Active,2025-01-15,2045-01-15
L000254,C05359,Auto,807381,11.37,9365.12,379173.0,Active,2022-11-07,2037-11-07
L000255,C01963,Home,4994422,8.06,101412.35,3234274.66,Active,2026-03-31,2031-03-31
L000256,C05999,Home,1785255,9.02,37076.29,1019211.8,Active,2026-03-29,2031-03-29
L000257,C04722,Personal,882871,12.4,19817.9,752831.44,Active,2023-06-03,2028-06-03
L000258,C01815,Home,4256095,9.38,44135.53,2780892.75,Active,2025-09-04,2040-09-04
L000259,C06775,Education,2896080,8.53,25187.87,0.0,Closed,2025-06-15,2045-06-15
L000260,C02047,Personal,482264,16.59,11879.44,115490.84,Active,2023-05-09,2028-05-09
L000261,C03629,Education,1045533,8.13,12757.13,0.0,Closed,2022-06-07,2032-06-07
L000262,C08605,Home,4101105,9.05,37030.69,1528466.89,Active,2025-10-10,2045-10-10
L000263,C06988,Education,1697258,10.59,36556.41,0.0,Closed,2025-11-24,2030-11-24
L000264,C07302,Education,722086,10.4,7160.72,0.0,Closed,2022-10-28,2042-10-28
L000265,C06896,Home,2310852,8.52,28675.98,1274974.75,Active,2024-02-23,2034-02-23
L000266,C00602,Auto,1389000,9.57,29219.12,1173359.27,Active,2023-10-13,2028-10-13
L000267,C07958,Auto,1056889,10.68,11801.05,708597.64,Active,2024-05-14,2039-05-14
L000268,C04224,Home,8981225,9.31,82605.63,5292313.76,Active,2025-09-26,2045-09-26
L000269,C06438,Personal,839370,15.11,11121.02,179609.15,Active,2026-01-30,2046-01-30
L000270,C07431,Auto,614745,11.18,6420.8,208541.68,Active,2026-05-07,2046-05-07
L000271,C01878,Auto,430613,9.07,3893.74,367285.61,Active,2019-01-19,2039-01-19
L000272,C00628,Home,2268246,8.59,46634.99,963225.54,Active,2026-07-27,2031-07-27
L000273,C09766,Home,4620674,8.83,95536.81,2446083.54,Active,2024-04-23,2029-04-23
L000274,C01058,Home,6948910,8.34,142032.27,5349037.19,Active,2019-09-08,2024-09-08
L000275,C08845,Personal,1277913,11.38,14831.1,958180.06,Active,2026-02-03,2041-02-03
L000276,C02696,Auto,2360242,9.3,30283.1,0.0,Closed,2026-07-27,2036-07-27
L000277,C03824,Auto,2166931,12.49,26693.8,873970.21,Active,2025-04-16,2040-04-16
L000278,C01586,Personal,708933,17.18,12402.07,177852.06,Active,2026-07-31,2036-07-31
L000279,C08571,Personal,858104,14.32,20109.22,0.0,Closed,2024-11-03,2029-11-03
L000280,C00838,Personal,596471,16.43,14641.65,297881.09,Active,2025-11-02,2030-11-02
L000281,C00943,Personal,1256887,11.47,27623.3,780888.83,Active,2025-09-14,2030-09-14
L000282,C00912,Home,5515333,9.08,49907.01,0.0,Closed,2025-08-10,2045-08-10
L000283,C08118,Home,1666213,9.43,15455.21,896169.32,Active,2023-05-06,2043-05-06
L000284,C08675,Home,3238651,9.84,42512.58,0.0,Closed,2026-04-17,2036-04-17
L000285,C07457,Personal,1154581,17.33,28899.58,0.0,Closed,2023-11-08,2028-11-08
L000286,C07615,Auto,1575590,9.16,16131.0,0.0,Closed,2020-02-27,2035-02-27
L000287,C04879,Education,2376415,10.68,51290.59,1082362.06,Active,2022-01-18,2027-01-18
L000288,C07979,Personal,362501,15.19,8660.07,283459.42,Active,2025-10-10,2030-10-10
L000289,C03767,Auto,946737,9.18,9704.08,0.0,Closed,2023-09-24,2038-09-24
L000290,C00985,Auto,419007,8.82,4205.1,152153.47,Active,2021-10-29,2036-10-29
L000291,C00080,Home,1754056,8.99,17780.37,1207727.41,Active,2023-12-27,2038-12-27
L000292,C01366,Home,8313102,8.39,170115.63,6561894.58,Active,2025-12-31,2030-12-31
L000293,C09266,Home,2474005,8.11,30160.5,982541.14,Active,2020-07-07,2030-07-07
L000294,C09292,Home,2948589,10.43,39671.3,0.0,Closed,2024-02-03,2034-02-03
L000295,C04843,Personal,322683,12.89,3755.22,188860.81,Active,2025-07-10,2045-07-10
L000296,C02747,Personal,206126,12.68,2368.09,0.0,Closed,2026-04-27,2046-04-27
L000297,C01295,Home,4179315,9.94,44757.85,3295224.01,Active,2020-11-01,2035-11-01
L000298,C09105,Home,2478982,9.0,25143.49,2074822.74,Active,2022-11-24,2037-11-24
