FD_ID,Customer_ID,Deposit_Amount,Interest_Rate,Duration_Months,Maturity_Amount,Start_Date,Maturity_Date,Status
FD000034,C08700,935333,6.8,24,1066863.27,2025-12-09,2027-12-09,Active
FD000035,C00789,2013143,6.8,24,2296239.22,2022-07-28,2024-07-28,Closed
FD000036,C06228,74077,7.0,36,90747.51,2020-04-17,2023-04-17,Active
FD000037,C03447,1176108,7.2,60,1665026.43,2020-03-10,2025-03-10,Matured
FD000038,C04875,1476799,6.5,12,1572790.93,2022-10-11,2023-10-11,Active
FD000039,C00435,3856110,5.5,6,3960733.7,2022-08-26,2023-02-26,Matured
FD000040,C03889,804639,6.5,12,856940.53,2023-12-19,2024-12-19,Active
FD000041,C08502,1548640,6.8,24,1766415.95,2023-03-13,2025-03-13,Active
FD000042,C08729,1301768,7.2,60,1842924.39,2024-06-27,2029-06-27,Active
FD000043,C00913,258573,6.5,12,275380.24,2021-09-18,2022-09-18,Matured
FD000044,C07595,1181159,7.4,120,2411854.9,2021-10-26,2031-10-26,Closed
FD000045,C09527,54797,6.8,24,62502.77,2025-03-27,2027-03-27,Active
FD000046,C09531,519207,7.3,84,850234.24,2024-09-18,2031-09-18,Closed
FD000047,C01607,694903,6.5,12,740071.69,2023-03-20,2024-03-20,Active
FD000048,C00317,215165,5.5,6,221002.84,2022-08-08,2023-02-08,Active
FD000049,C04913,340298,7.4,120,694867.84,2023-08-10,2033-08-10,Active
FD000050,C09717,1104955,6.5,12,1176777.07,2024-12-01,2025-12-01,Active
FD000051,C00149,1203021,6.5,12,1281217.36,2024-05-10,2025-05-10,Active
FD000052,C00538,2594239,6.8,24,2959051.27,2026-06-05,2028-06-05,Active
FD000053,C02829,1180985,7.2,60,1671930.84,2026-04-21,2031-04-21,Matured
FD000054,C05725,1545162,6.5,12,1645597.53,2024-03-31,2025-03-31,Closed
FD000055,C01378,1412893,6.5,12,1504731.04,2024-12-28,2025-12-28,Closed
FD000056,C06945,996835,6.5,12,1061629.27,2021-07-09,2022-07-09,Active
FD000057,C02050,1468033,5.5,6,1507863.57,2023-07-21,2024-01-21,Active
FD000058,C07960,1897317,5.5,6,1948794.87,2023-12-28,2024-06-28,Matured
FD000059,C07199,173467,6.5,12,184742.35,2024-10-06,2025-10-06,Closed
FD000060,C00320,742958,5.5,6,763115.88,2024-10-03,2025-04-03,Active
FD000061,C06434,1452948,6.8,24,1657267.36,2026-01-28,2028-01-28,Active
FD000062,C07006,2032525,6.5,12,2164639.12,2020-05-10,2021-05-10,Active
FD000063,C02223,903666,6.5,12,962404.29,2025-06-02,2026-06-02,Active
FD000064,C00537,953979,6.5,12,1015987.63,2024-02-02,2025-02-02,Active
FD000065,C09628,277210,7.0,36,339594.17,2026-01-25,2029-01-25,Closed
FD000066,C02935,256397,5.5,6,263353.55,2026-05-03,2026-11-03,Matured
FD000067,C05063,508307,6.5,12,541346.95,2025-10-16,2026-10-16,Active
FD000068,C08805,520405,6.5,12,554231.32,2023-12-15,2024-12-15,Active
FD000069,C05218,535100,6.5,12,569881.5,2023-03-14,2024-03-14,Closed
FD000070,C01573,3767250,7.2,60,5333328.92,2025-07-25,2030-07-25,Closed
FD000071,C02982,460658,5.5,6,473156.54,2024-04-19,2024-10-19,Closed
FD000072,C09675,80949,7.4,120,165292.94,2021-04-16,2031-04-16,Closed
FD000073,C08015,1041447,6.5,12,1109141.05,2025-04-18,2026-04-18,Active
FD000074,C02378,498260,7.2,60,705391.06,2023-04-24,2028-04-24,Closed
FD000075,C00849,395269,6.5,12,420961.48,2025-05-25,2026-05-25,Closed
FD000076,C09709,1162342,7.3,84,1903408.41,2026-01-06,2033-01-06,Matured
FD000077,C01402,648210,6.8,24,739363.88,2022-04-05,2024-04-05,Closed
FD000078,C05625,1070623,6.5,12,1140213.49,2023-12-12,2024-12-12,Active
FD000079,C01595,172648,6.8,24,196926.45,2024-11-15,2026-11-15,Active
FD000080,C08493,1365353,5.5,6,1402397.66,2024-12-29,2025-06-29,Active
FD000081,C07691,2159107,7.3,84,3535674.03,2026-04-27,2033-04-27,Active
FD000082,C09727,288570,7.4,120,589242.4,2022-09-02,2032-09-02,Active
FD000083,C08473,829406,5.5,6,851909.38,2025-08-28,2026-02-28,Active
FD000084,C09304,543258,6.8,24,619653.11,2026-01-03,2028-01-03,Closed
FD000085,C02767,566351,6.8,24,645993.54,2023-06-17,2025-06-17,Active
FD000086,C06656,221931,6.8,24,253139.82,2024-04-16,2026-04-16,Active
FD000087,C06162,2242709,6.5,12,2388485.08,2026-04-27,2027-04-27,Active
FD000088,C07402,1454517,7.0,36,1781845.87,2026-05-09,2029-05-09,Active
FD000089,C06447,1710046,6.5,12,1821198.99,2026-02-11,2027-02-11,Active
FD000090,C08171,1967738,6.5,12,2095640.97,2022-04-19,2023-04-19,Matured
FD000091,C08909,354267,5.5,6,363878.95,2020-12-02,2021-06-02,Active
FD000092,C09039,1230683,7.4,120,2512979.9,2023-12-06,2033-12-06,Active
FD000093,C06209,497016,6.8,24,566908.38,2020-03-06,2022-03-06,Active
FD000094,C09255,781924,7.2,60,1106976.68,2026-07-18,2031-07-18,Closed
FD000095,C00042,1599908,6.5,12,1703902.02,2024-07-08,2025-07-08,Active
FD000096,C07583,684424,7.0,36,838448.83,2025-09-03,2028-09-03,Closed
FD000097,C03931,4487076,5.5,6,4608819.03,2025-04-19,2025-10-19,Matured
FD000098,C05100,2561370,7.3,84,4194405.1,2021-09-23,2028-09-23,Active
FD000099,C06304,613257,6.5,12,653118.7,2020-08-18,2021-08-18,Closed
FD000100,C02547,375997,6.5,12,400436.8,2025-11-18,2026-11-18,Active
FD000101,C05096,1488144,6.5,12,1584873.36,2026-02-17,2027-02-17,Active
FD000102,C08814,603614,6.8,24,688496.62,2026-03-21,2028-03-21,Active
FD000103,C08130,156533,5.5,6,160780.04,2025-04-02,2025-10-02,Active
FD000104,C02475,340120,5.5,6,349348.11,2026-06-24,2026-12-24,Active
FD000105,C06543,324348,7.0,36,397340.25,2026-06-07,2029-06-07,Active
FD000106,C03061,976596,6.8,24,1113928.84,2022-02-18,2024-02-18,Active
FD000107,C02907,70278,6.5,12,74846.07,2026-01-14,2027-01-14,Closed
FD000108,C07762,675178,6.8,24,770124.23,2024-04-29,2026-04-29,Matured
FD000109,C00163,1271611,6.8,24,1450430.03,2023-07-18,2025-07-18,Active
FD000110,C09782,400885,6.5,12,426942.52,2023-11-25,2024-11-25,Closed
FD000111,C01432,1719589,7.4,120,3511296.24,2020-03-15,2030-03-15,Active
FD000112,C03266,800380,6.5,12,852404.7,2024-03-01,2025-03-01,Active
FD000113,C07929,265573,6.5,12,282835.24,2026-07-24,2027-07-24,Active
FD000114,C00878,1884405,6.8,24,2149397.57,2025-10-13,2027-10-13,Active
FD000115,C01118,698243,7.3,84,1143417.0,2023-07-25,2030-07-25,Active
FD000116,C03824,390790,7.4,120,797969.43,2024-12-18,2034-12-18,Matured
FD000117,C03454,914644,5.5,6,939460.06,2026-01-01,2026-07-01,Matured
FD000118,C05782,2836573,7.2,60,4015761.31,2025-05-26,2030-05-26,Active
FD000119,C05675,1454897,7.2,60,2059710.46,2025-03-12,2030-03-12,Matured
FD000120,C05020,609532,6.5,12,649151.58,2026-06-09,2027-06-09,Matured
FD000121,C09869,451124,7.2,60,638660.21,2025-11-14,2030-11-14,Closed
FD000122,C06960,1915909,6.5,12,2040443.08,2026-03-13,2027-03-13,Closed
FD000123,C09420,1516573,6.5,12,1615150.24,2026-03-31,2027-03-31,Matured
FD000124,C02687,1959209,6.5,12,2086557.58,2024-11-17,2025-11-17,Matured
FD000125,C07761,467821,6.5,12,498229.36,2022-01-10,2023-01-10,Closed
FD000126,C06859,1220735,6.5,12,1300082.77,2026-04-23,2027-04-23,Active
FD000127,C09212,1174525,6.5,12,1250869.12,2021-01-15,2022-01-15,Active
FD000128,C03127,1145615,6.5,12,1220079.97,2024-01-25,2025-01-25,Closed
FD000129,C07753,1163446,5.5,6,1195012.53,2025-12-18,2026-06-18,Active
FD000130,C00638,1499916,7.0,36,1837461.6,2021-08-29,2024-08-29,Active
FD000131,C03107,1321312,7.4,120,2698038.81,2024-10-02,2034-10-02,Active
FD000132,C04792,1259192,6.5,12,1341039.48,2022-11-09,2023-11-09,Active
FD000133,C07771,507239,5.5,6,521001.37,2025-09-20,2026-03-20,Closed
FD000134,C07791,1179215,7.0,36,1444589.08,2025-08-12,2028-08-12,Closed
FD000135,C06313,1595680,7.0,36,1954776.61,2025-09-20,2028-09-20,Active
FD000136,C06122,196745,7.3,84,322182.36,2023-05-17,2030-05-17,Closed
FD000137,C00793,1356851,6.5,12,1445046.31,2026-01-21,2027-01-21,Matured
FD000138,C03683,1309642,6.8,24,1493809.1,2021-07-05,2023-07-05,Matured
FD000139,C04245,734055,6.8,24,837280.75,2023-12-21,2025-12-21,Active
FD000140,C00647,316941,6.5,12,337542.16,2021-08-13,2022-08-13,Matured
FD000141,C04742,845125,7.0,36,1035314.47,2025-10-18,2028-10-18,Closed
FD000142,C04833,2631656,6.8,24,3001729.99,2025-05-26,2027-05-26,Active
FD000143,C03413,924224,5.5,6,949299.98,2025-02-08,2025-08-08,Active
FD000144,C03298,1853081,7.2,60,2623423.05,2026-02-09,2031-02-09,Active
FD000145,C09128,1401611,6.8,24,1598711.15,2024-09-05,2026-09-05,Active
FD000146,C07046,946328,6.8,24,1079404.43,2026-06-01,2028-06-01,Matured
FD000147,C00573,761737,7.0,36,933160.58,2025-06-21,2028-06-21,Active
FD000148,C03963,2704746,7.0,36,3313430.15,2022-06-30,2025-06-30,Active
FD000149,C08693,2046487,7.2,60,2897229.62,2024-09-22,2029-09-22,Matured
FD000150,C01861,1934422,7.2,60,2738578.22,2026-02-23,2031-02-23,Active
FD000151,C06954,98458,6.5,12,104857.77,2023-07-03,2024-07-03,Active
FD000152,C00255,660927,6.8,24,753869.2,2025-09-19,2027-09-19,Closed
FD000153,C07219,2464538,6.5,12,2624732.97,2020-09-21,2021-09-21,Matured
FD000154,C04541,4197136,6.5,12,4469949.84,2024-02-16,2025-02-16,Active
FD000155,C05394,2934097,5.5,6,3013704.71,2026-02-24,2026-08-24,Matured
FD000156,C09272,1664903,7.2,60,2357017.8,2024-12-27,2029-12-27,Matured
FD000157,C03620,508943,6.5,12,542024.29,2023-02-01,2024-02-01,Closed
FD000158,C08182,2222472,6.8,24,2535004.9,2024-10-09,2026-10-09,Active
FD000159,C05422,1829090,6.5,12,1947980.85,2026-04-15,2027-04-15,Active
FD000160,C04599,3947709,7.0,36,4836113.28,2025-07-29,2028-07-29,Closed
FD000161,C09102,674377,6.5,12,718211.51,2026-07-24,2027-07-24,Matured
FD000162,C02248,514071,7.0,36,629759.08,2023-12-27,2026-12-27,Matured
FD000163,C03897,2167193,6.8,24,2471952.35,2025-01-24,2027-01-24,Closed
FD000164,C05361,985148,7.2,60,1394682.68,2025-07-11,2030-07-11,Matured
FD000165,C07841,547732,6.8,24,624756.26,2025-09-21,2027-09-21,Matured
FD000166,C08378,1811320,7.0,36,2218944.89,2026-07-18,2029-07-18,Matured
FD000167,C04379,1143244,6.8,24,1304011.54,2026-04-09,2028-04-09,Active
FD000168,C06339,1894959,5.5,6,1946372.89,2021-11-30,2022-05-30,Active
FD000169,C04881,2329311,6.5,12,2480716.21,2025-04-30,2026-04-30,Closed
FD000170,C04310,725934,6.5,12,773119.71,2023-06-10,2024-06-10,Active
FD000171,C01403,1505318,6.5,12,1603163.67,2025-11-28,2026-11-28,Active
FD000172,C00784,920041,6.8,24,1049420.85,2023-07-18,2025-07-18,Active
FD000173,C02197,921941,5.5,6,946955.04,2024-09-06,2025-03-06,Matured
FD000174,C05082,866792,7.3,84,1419426.63,2023-09-17,2030-09-17,Active
FD000175,C08469,131922,7.2,60,186763.13,2022-12-14,2027-12-14,Matured
FD000176,C01649,847716,6.8,24,966925.21,2023-03-26,2025-03-26,Closed
FD000177,C03379,676236,7.2,60,957353.25,2022-09-22,2027-09-22,Closed
FD000178,C05965,1807502,6.8,24,2061680.16,2026-06-30,2028-06-30,Matured
FD000179,C03020,1315112,7.2,60,1861815.61,2022-07-10,2027-07-10,Active
FD000180,C03286,1194773,6.8,24,1362786.76,2020-03-31,2022-03-31,Active
FD000181,C05302,1459829,7.0,36,1788353.3,2025-09-12,2028-09-12,Matured
FD000182,C03911,396123,7.2,60,560794.81,2025-12-09,2030-12-09,Closed
FD000183,C09665,1170138,5.5,6,1201886.1,2024-11-21,2025-05-21,Active
FD000184,C09810,1233615,7.0,36,1511231.42,2026-04-20,2029-04-20,Active
FD000185,C09840,1847732,6.5,12,1967834.58,2024-12-05,2025-12-05,Active
FD000186,C04611,155454,6.5,12,165558.51,2024-09-17,2025-09-17,Active
FD000187,C07230,1957147,6.5,12,2084361.55,2026-06-01,2027-06-01,Matured
FD000188,C04468,845085,6.5,12,900015.52,2025-04-21,2026-04-21,Closed
FD000189,C05350,934085,6.5,12,994800.52,2026-06-21,2027-06-21,Active
FD000190,C00577,90649,7.0,36,111048.92,2023-08-24,2026-08-24,Active
FD000191,C01951,1517840,6.5,12,1616499.6,2022-10-05,2023-10-05,Active
FD000192,C05001,2783657,5.5,6,2859182.98,2025-10-06,2026-04-06,Active
FD000193,C05305,1087181,6.5,12,1157847.76,2025-01-21,2026-01-21,Active
FD000194,C08168,369568,6.5,12,393589.92,2025-05-16,2026-05-16,Active
FD000195,C04501,289892,6.8,24,330657.77,2026-02-01,2028-02-01,Active
FD000196,C09439,587381,7.2,60,831560.44,2025-08-02,2030-08-02,Active
FD000197,C01933,2596980,7.4,120,5302875.35,2026-03-31,2036-03-31,Matured
FD000198,C08170,393441,7.4,120,803382.61,2026-02-19,2036-02-19,Active
FD000199,C01330,157703,7.3,84,258248.62,2024-11-15,2031-11-15,Active
FD000200,C08734,837075,6.5,12,891484.88,2025-01-22,2026-01-22,Matured
FD000201,C05629,687504,6.8,24,784183.56,2023-06-01,2025-06-01,Matured
FD000202,C09417,559292,6.5,12,595645.98,2025-08-01,2026-08-01,Matured
FD000203,C00061,2919990,7.0,36,3577113.31,2026-07-30,2029-07-30,Active
FD000204,C03783,136128,6.5,12,144976.32,2025-12-14,2026-12-14,Active
FD000205,C09223,827143,5.5,6,849584.99,2025-05-21,2025-11-21,Active
FD000206,C07451,103066,7.2,60,145911.44,2024-09-13,2029-09-13,Matured
FD000207,C01944,271331,6.8,24,309486.65,2024-07-13,2026-07-13,Active
FD000208,C05450,984884,7.2,60,1394308.93,2025-05-15,2030-05-15,Matured
FD000209,C00837,3703130,6.5,12,3943833.45,2026-04-14,2027-04-14,Active
FD000210,C02846,2778216,6.5,12,2958800.04,2026-03-30,2027-03-30,Matured
FD000211,C05719,1063967,6.8,24,1213586.3,2024-06-24,2026-06-24,Matured
FD000212,C00690,1175732,6.5,12,1252154.58,2021-11-24,2022-11-24,Active
FD000213,C00528,776981,6.5,12,827484.77,2023-09-27,2024-09-27,Active
FD000214,C04885,1623862,6.8,24,1852215.97,2025-12-09,2027-12-09,Active
FD000215,C02034,844798,6.5,12,899709.87,2025-10-15,2026-10-15,Active
FD000216,C01806,731604,6.5,12,779158.26,2025-08-11,2026-08-11,Active
FD000217,C08408,591804,6.5,12,630271.26,2026-07-28,2027-07-28,Closed
FD000218,C01522,2990977,7.2,60,4234352.41,2021-11-20,2026-11-20,Active
FD000219,C01300,1133445,7.3,84,1856087.75,2021-10-26,2028-10-26,Active
FD000220,C07710,3459366,6.8,24,3945835.88,2026-04-15,2028-04-15,Matured
FD000221,C07050,4043758,7.0,36,4953777.43,2022-07-22,2025-07-22,Active
FD000222,C06115,86161,5.5,6,88498.71,2026-02-01,2026-08-01,Active
FD000223,C07855,560247,6.5,12,596663.05,2019-05-27,2020-05-27,Active
FD000224,C01095,1042499,6.8,24,1189099.38,2026-05-26,2028-05-26,Active
FD000225,C07076,1204248,6.5,12,1282524.12,2021-11-19,2022-11-19,Matured
FD000226,C00993,334076,6.5,12,355790.94,2025-04-06,2026-04-06,Active
FD000227,C04690,453878,6.5,12,483380.07,2021-09-14,2022-09-14,Matured
FD000228,C07888,2944755,6.5,12,3136164.07,2026-05-23,2027-05-23,Active
FD000229,C00739,2080876,6.5,12,2216132.94,2022-09-04,2023-09-04,Active
FD000230,C08758,1150243,6.8,24,1311994.77,2026-04-05,2028-04-05,Closed
FD000231,C03991,864188,6.5,12,920360.22,2026-05-07,2027-05-07,Active
FD000232,C09584,683901,5.5,6,702456.55,2023-11-14,2024-05-14,Active
FD000233,C01283,625272,5.5,6,642236.84,2022-10-18,2023-04-18,Active
FD000234,C07450,662654,7.0,36,811779.64,2025-12-10,2028-12-10,Active
FD000235,C01517,1079447,6.5,12,1149611.05,2026-05-17,2027-05-17,Active
FD000236,C01720,646302,6.8,24,737187.57,2026-02-01,2028-02-01,Active
FD000237,C02885,1596554,7.4,120,3260066.25,2026-07-27,2036-07-27,Active
FD000238,C08009,2053741,6.5,12,2187234.17,2026-07-25,2027-07-25,Active
FD000239,C04012,1081267,5.5,6,1110603.86,2023-12-01,2024-06-01,Active
FD000240,C00686,162426,6.5,12,172983.69,2025-03-01,2026-03-01,Matured
FD000241,C04964,687189,5.5,6,705833.76,2024-08-08,2025-02-08,Active
FD000242,C04648,1220363,7.2,60,1727678.62,2025-01-24,2030-01-24,Active
FD000243,C01000,1943200,7.2,60,2751005.31,2026-03-23,2031-03-23,Active
FD000244,C04274,1002635,6.8,24,1143629.54,2023-06-08,2025-06-08,Closed
FD000245,C08503,1848642,6.5,12,1968803.73,2025-01-12,2026-01-12,Active
FD000246,C09028,1328488,7.4,120,2712691.77,2020-08-31,2030-08-31,Active
FD000247,C03771,485762,7.0,36,595079.34,2025-06-22,2028-06-22,Active
FD000248,C00150,220262,6.5,12,234579.03,2022-08-19,2023-08-19,Active
FD000249,C06353,364844,6.5,12,388558.86,2026-04-15,2027-04-15,Active
FD000250,C08293,772858,6.8,24,881540.38,2025-07-21,2027-07-21,Active
FD000251,C05886,1020881,6.5,12,1087238.26,2023-05-22,2024-05-22,Active
FD000252,C02293,1002172,5.5,6,1029362.86,2022-08-12,2023-02-12,Active
FD000253,C04276,604811,7.2,60,856236.25,2025-04-12,2030-04-12,Active
FD000254,C06036,879713,6.8,24,1003421.76,2025-12-02,2027-12-02,Active
FD000255,C02966,1408188,6.5,12,1499720.22,2022-12-09,2023-12-09,Active
FD000256,C05566,348291,5.5,6,357740.81,2024-08-07,2025-02-07,Active
FD000257,C09053,2630434,6.8,24,3000336.15,2025-05-25,2027-05-25,Matured
FD000258,C05125,655260,6.8,24,747405.28,2026-02-18,2028-02-18,Active
FD000259,C00508,368862,7.0,36,451871.81,2024-05-07,2027-05-07,Closed
FD000260,C03212,1099566,6.8,24,1254191.37,2022-01-30,2024-01-30,Active
FD000261,C06259,133594,7.2,60,189130.2,2020-11-13,2025-11-13,Matured
FD000262,C03452,575059,5.5,6,590661.46,2024-06-10,2024-12-10,Active
FD000263,C05612,1464106,7.2,60,2072747.73,2025-12-24,2030-12-24,Active
FD000264,C05543,1046971,5.5,6,1075377.34,2024-05-23,2024-11-23,Matured
FD000265,C09861,615205,6.8,24,701717.59,2025-03-01,2027-03-01,Matured
FD000266,C00605,417401,6.8,24,476097.6,2020-06-14,2022-06-14,Matured
FD000267,C08450,2383346,6.5,12,2538263.49,2022-08-08,2023-08-08,Active
FD000268,C04399,2712480,7.2,60,3840081.76,2023-10-09,2028-10-09,Closed
FD000269,C00875,2021366,6.5,12,2152754.79,2025-01-16,2026-01-16,Active
FD000270,C06866,2860743,6.5,12,3046691.29,2026-07-28,2027-07-28,Active
FD000271,C06716,913282,7.0,36,1118809.72,2024-02-14,2027-02-14,Active
FD000272,C01488,889809,7.2,60,1259710.42,2022-07-12,2027-07-12,Active
FD000273,C05877,1003839,5.5,6,1031075.09,2023-07-01,2024-01-01,Active
FD000274,C02022,293105,7.4,120,598502.6,2026-02-19,2036-02-19,Active
FD000275,C00453,1129186,7.2,60,1598598.54,2026-05-19,2031-05-19,Active
FD000276,C01949,1187901,6.8,24,1354948.39,2024-04-30,2026-04-30,Active
FD000277,C04184,2224492,6.5,12,2369083.98,2021-12-02,2022-12-02,Matured
FD000278,C02003,1904054,7.2,60,2695585.97,2024-11-26,2029-11-26,Active
FD000279,C01327,625898,6.5,12,666581.37,2022-02-26,2023-02-26,Active
FD000280,C08040,1066514,6.5,12,1135837.41,2022-06-20,2023-06-20,Closed
FD000281,C03609,1326896,7.2,60,1878498.32,2023-11-13,2028-11-13,Matured
FD000282,C03071,701690,6.8,24,800364.45,2026-06-20,2028-06-20,Active
FD000283,C02661,440947,6.5,12,469608.55,2022-10-20,2023-10-20,Matured
FD000284,C05864,287945,6.8,24,328436.98,2025-08-11,2027-08-11,Active
FD000285,C03018,372900,6.8,24,425338.69,2023-07-01,2025-07-01,Matured
FD000286,C05314,1117181,7.0,36,1368594.76,2023-09-14,2026-09-14,Active
FD000287,C08321,1061874,7.4,120,2168282.18,2025-09-30,2035-09-30,Active
FD000288,C06345,1206086,6.5,12,1284481.59,2023-06-13,2024-06-13,Active
FD000289,C09258,4313433,7.0,36,5284140.9,2022-06-13,2025-06-13,Active
FD000290,C09924,342804,6.5,12,365086.26,2026-05-13,2027-05-13,Matured
FD000291,C01174,1790394,6.5,12,1906769.61,2022-11-04,2023-11-04,Matured
FD000292,C08233,330150,7.2,60,467396.26,2023-04-11,2028-04-11,Active
FD000293,C04985,1302233,7.2,60,1843582.7,2025-07-23,2030-07-23,Active
FD000294,C03228,1433996,6.8,24,1635650.25,2026-05-27,2028-05-27,Active
FD000295,C03607,4567941,6.8,24,5210303.14,2026-06-02,2028-06-02,Active
FD000296,C02477,4608621,6.5,12,4908181.36,2025-11-20,2026-11-20,Closed
FD000297,C00383,1632530,7.4,120,3333527.06,2023-03-15,2033-03-15,Active
FD000298,C04224,3262592,6.5,12,3474660.48,2025-07-20,2026-07-20,Matured
FD000299,C02845,233070,6.5,12,248219.55,2025-10-30,2026-10-30,Active
FD000300,C00464,1751647,6.5,12,1865504.05,2026-04-20,2027-04-20,Closed
FD000301,C01011,368987,6.8,24,420875.43,2023-08-22,2025-08-22,Active
FD000302,C01227,4263523,7.4,120,8705854.89,2025-10-16,2035-10-16,Active
FD000303,C02730,155239,7.2,60,219773.22,2025-05-09,2030-05-09,Active
FD000304,C08965,2255998,7.3,84,3694339.16,2025-05-30,2032-05-30,Active
FD000305,C01033,654631,6.8,24,746687.83,2022-09-27,2024-09-27,Matured
FD000306,C07686,1344875,5.5,6,1381364.05,2025-08-27,2026-02-27,Matured
FD000307,C02095,2273172,6.5,12,2420928.18,2026-03-12,2027-03-12,Matured
FD000308,C08075,386866,7.2,60,547689.59,2023-04-16,2028-04-16,Closed
FD000309,C01794,2288174,6.5,12,2436905.31,2025-10-26,2026-10-26,Active
FD000310,C04558,4143200,7.2,60,5865564.63,2022-08-25,2027-08-25,Active
FD000311,C00792,193488,6.5,12,206064.72,2022-06-11,2023-06-11,Matured
FD000312,C09089,652677,7.4,120,1332726.77,2024-03-05,2034-03-05,Matured
FD000313,C01038,960104,7.4,120,1960474.03,2023-09-11,2033-09-11,Matured
FD000314,C06941,471557,6.8,24,537869.23,2026-02-28,2028-02-28,Matured
FD000315,C01086,110706,5.5,6,113709.67,2023-07-30,2024-01-30,Matured
FD000316,C08026,2510947,6.5,12,2674158.55,2025-08-29,2026-08-29,Active
FD000317,C02177,562119,6.8,24,641166.42,2023-02-13,2025-02-13,Active
FD000318,C00202,427606,6.5,12,455400.39,2024-04-18,2025-04-18,Active
FD000319,C08319,3259014,7.0,36,3992432.29,2026-08-05,2029-08-05,Active
FD000320,C00069,1964341,6.8,24,2240574.49,2025-12-26,2027-12-26,Active
FD000321,C09581,1387782,6.5,12,1477987.83,2026-04-12,2027-04-12,Active
FD000322,C03074,128831,7.2,60,182387.18,2024-09-24,2029-09-24,Active
FD000323,C03646,653207,7.0,36,800206.66,2022-10-10,2025-10-10,Active
FD000324,C00452,3755497,7.3,84,6149863.45,2024-12-18,2031-12-18,Closed
FD000325,C03600,1304743,7.0,36,1598366.28,2020-10-09,2023-10-09,Active
FD000326,C07363,2147975,6.8,24,2450031.84,2026-02-19,2028-02-19,Active
FD000327,C02551,856760,7.2,60,1212922.66,2022-07-01,2027-07-01,Active
FD000328,C06645,1649557,6.8,24,1881524.3,2020-01-16,2022-01-16,Active
FD000329,C07958,669143,5.5,6,687298.14,2026-05-29,2026-11-29,Matured
FD000330,C07562,880064,6.5,12,937268.16,2026-06-29,2027-06-29,Active
FD000331,C09648,152853,7.3,84,250306.44,2023-06-02,2030-06-02,Matured
FD000332,C00705,1796589,7.3,84,2942027.92,2026-04-01,2033-04-01,Active
FD000333,C00751,887665,6.5,12,945363.22,2026-05-01,2027-05-01,Matured
FD000334,C08725,509285,7.0,36,623896.02,2019-06-27,2022-06-27,Active
