Card_ID,Customer_ID,Card_Type,Credit_Limit,Outstanding_Balance,Available_Credit,Card_Status,Issue_Date,Expiry_Date
CC000087,C05758,Gold,548321,355131.36,193189.64,Active,2023-08-21,2028-08-21
CC000088,C05896,Platinum,460222,131975.1,328246.9,Active,2026-05-23,2031-05-23
CC000089,C05962,Gold,240605,168667.78,71937.22,Active,2022-05-08,2027-05-08
CC000090,C00561,Platinum,682662,235355.16,447306.84,Active,2024-03-02,2029-03-02
CC000091,C03003,Platinum,433752,50560.35,383191.65,Active,2025-05-24,2030-05-24
CC000092,C07021,Silver,48198,37441.28,10756.72,Active,2026-06-13,2031-06-13
CC000093,C07904,Platinum,619093,356388.74,262704.26,Active,2025-10-02,2030-10-02
CC000094,C09326,Silver,37235,6729.83,30505.17,Expired,2025-07-18,2030-07-18
CC000095,C07415,Gold,478361,60646.63,417714.37,Active,2025-12-13,2030-12-13
CC000096,C01078,Silver,112228,45505.73,66722.27,Expired,2025-08-17,2030-08-17
CC000097,C01763,Silver,181149,42217.71,138931.29,Active,2025-11-07,2030-11-07
CC000098,C06182,Gold,745175,557318.33,187856.67,Active,2025-01-12,2030-01-12
CC000099,C01873,Platinum,406606,144326.85,262279.15,Active,2026-02-09,2031-02-09
CC000100,C03338,Silver,116559,62499.96,54059.04,Active,2022-11-24,2027-11-24
CC000101,C07171,Platinum,1429821,650548.18,779272.82,Active,2022-01-04,2027-01-04
CC000102,C05495,Gold,510016,248933.06,261082.94,Active,2021-03-28,2026-03-28
CC000103,C04452,Platinum,597562,343073.83,254488.17,Active,2023-07-26,2028-07-26
CC000104,C07324,Platinum,515568,198108.35,317459.65,Active,2026-04-22,2031-04-22
CC000105,C07293,Gold,420392,168544.28,251847.72,Active,2024-10-14,2029-10-14
CC000106,C06415,Platinum,687575,281390.21,406184.79,Active,2026-07-04,2031-07-04
CC000107,C02960,Silver,74483,41799.53,32683.47,Active,2026-07-08,2031-07-08
CC000108,C00387,Platinum,551470,91197.17,460272.83,Blocked,2026-02-12,2031-02-12
CC000109,C09884,Gold,525498,135183.55,390314.45,Active,2025-12-03,2030-12-03
CC000110,C02755,Platinum,1313472,1036007.89,277464.11,Active,2025-09-09,2030-09-09
CC000111,C07942,Platinum,1755076,684670.43,1070405.57,Active,2023-05-07,2028-05-07
CC000112,C09491,Gold,602630,268811.56,333818.44,Active,2025-06-10,2030-06-10
CC000113,C01329,Platinum,205814,149186.72,56627.28,Active,2026-02-19,2031-02-19
CC000114,C00810,Platinum,2432465,967153.77,1465311.23,Active,2026-06-13,2031-06-13
CC000115,C07203,Platinum,743118,315962.57,427155.43,Active,2021-07-30,2026-07-30
CC000116,C07814,Platinum,327253,137290.25,189962.75,Active,2023-12-28,2028-12-28
CC000117,C01615,Platinum,786075,406256.63,379818.37,Blocked,2026-03-18,2031-03-18
CC000118,C09363,Platinum,729298,290784.63,438513.37,Active,2024-03-05,2029-03-05
CC000119,C04547,Gold,366889,227676.2,139212.8,Active,2026-07-08,2031-07-08
CC000120,C02743,Gold,459249,315919.23,143329.77,Active,2026-05-01,2031-05-01
CC000121,C03741,Platinum,708136,381489.79,326646.21,Active,2026-02-21,2031-02-21
CC000122,C01464,Gold,499607,131968.94,367638.06,Active,2026-03-24,2031-03-24
CC000123,C02853,Platinum,284491,56005.42,228485.58,Active,2025-08-28,2030-08-28
CC000124,C01286,Platinum,424345,61513.13,362831.87,Active,2025-11-08,2030-11-08
CC000125,C05258,Platinum,1671941,240067.32,1431873.68,Active,2025-05-14,2030-05-14
CC000126,C02363,Gold,220480,154272.59,66207.41,Active,2026-05-13,2031-05-13
CC000127,C07285,Gold,206182,156681.65,49500.35,Active,2026-07-22,2031-07-22
CC000128,C00938,Silver,139843,66670.77,73172.23,Active,2025-08-16,2030-08-16
CC000129,C01249,Platinum,431251,190509.72,240741.28,Active,2023-04-03,2028-04-03
CC000130,C00119,Platinum,1615492,541659.41,1073832.59,Active,2021-03-28,2026-03-28
CC000131,C01666,Gold,373061,256798.02,116262.98,Active,2023-07-25,2028-07-25
CC000132,C06674,Platinum,760069,90354.35,669714.65,Active,2025-07-07,2030-07-07
CC000133,C00127,Gold,228418,36264.38,192153.62,Active,2025-05-29,2030-05-29
CC000134,C05777,Platinum,390556,52802.88,337753.12,Active,2020-09-13,2025-09-13
CC000135,C06135,Gold,542722,182490.48,360231.52,Active,2026-07-17,2031-07-17
CC000136,C09973,Gold,642042,177582.44,464459.56,Active,2022-03-05,2027-03-05
CC000137,C05408,Silver,171405,23389.91,148015.09,Blocked,2026-01-07,2031-01-07
CC000138,C06100,Platinum,943903,610576.05,333326.95,Active,2024-06-05,2029-06-05
CC000139,C02571,Platinum,459295,110025.26,349269.74,Active,2023-06-19,2028-06-19
CC000140,C02819,Platinum,1064704,459412.05,605291.95,Active,2025-07-28,2030-07-28
CC000141,C09557,Platinum,687623,405440.04,282182.96,Active,2020-06-29,2025-06-29
CC000142,C09645,Gold,320096,206287.25,113808.75,Active,2025-11-28,2030-11-28
CC000143,C00993,Gold,226925,170243.9,56681.1,Active,2026-05-24,2031-05-24
CC000144,C01493,Gold,128384,48485.26,79898.74,Active,2025-04-29,2030-04-29
CC000145,C09623,Gold,454646,77894.91,376751.09,Active,2025-07-18,2030-07-18
CC000146,C08867,Platinum,326935,214913.68,112021.32,Active,2024-11-11,2029-11-11
CC000147,C07321,Gold,758623,303346.49,455276.51,Active,2026-06-19,2031-06-19
CC000148,C04620,Gold,557806,60720.81,497085.19,Active,2026-01-30,2031-01-30
CC000149,C09916,Platinum,1709164,1320416.87,388747.13,Active,2025-03-29,2030-03-29
CC000150,C02293,Platinum,360422,145913.6,214508.4,Active,2020-10-12,2025-10-12
CC000151,C04086,Platinum,483201,256646.73,226554.27,Active,2025-11-29,2030-11-29
CC000152,C06615,Platinum,1774910,718664.87,1056245.13,Active,2020-12-12,2025-12-12
CC000153,C02919,Gold,457420,311737.09,145682.91,Active,2025-09-11,2030-09-11
CC000154,C03061,Platinum,455709,284970.06,170738.94,Active,2024-07-26,2029-07-26
CC000155,C07274,Platinum,1505474,180792.37,1324681.63,Active,2024-06-15,2029-06-15
CC000156,C02631,Gold,422423,147162.66,275260.34,Active,2024-10-13,2029-10-13
CC000157,C07238,Gold,489688,239483.74,250204.26,Active,2026-02-25,2031-02-25
CC000158,C04492,Gold,453080,273684.0,179396.0,Active,2024-08-09,2029-08-09
CC000159,C02510,Platinum,2248312,974115.3,1274196.7,Active,2023-04-09,2028-04-09
CC000160,C06870,Gold,218080,36013.15,182066.85,Active,2026-03-26,2031-03-26
CC000161,C03633,Platinum,521080,294291.4,226788.6,Active,2025-04-18,2030-04-18
CC000162,C00878,Gold,560455,222978.52,337476.48,Active,2023-05-30,2028-05-30
CC000163,C09413,Platinum,2273993,949668.79,1324324.21,Active,2023-09-12,2028-09-12
CC000164,C05694,Platinum,2312642,543029.17,1769612.83,Active,2024-09-06,2029-09-06
CC000165,C00894,Gold,394143,92260.47,301882.53,Active,2025-05-24,2030-05-24
CC000166,C08803,Gold,750121,388377.79,361743.21,Expired,2023-04-13,2028-04-13
CC000167,C08979,Platinum,510636,132376.36,378259.64,Active,2024-09-13,2029-09-13
CC000168,C04184,Gold,760081,143357.41,616723.59,Active,2024-01-11,2029-01-11
CC000169,C02513,Gold,506327,297817.58,208509.42,Active,2026-07-18,2031-07-18
CC000170,C00663,Platinum,714723,122797.53,591925.47,Active,2024-11-08,2029-11-08
CC000171,C09691,Gold,701968,286633.3,415334.7,Active,2024-08-24,2029-08-24
CC000172,C08627,Silver,155233,27920.36,127312.64,Active,2022-10-25,2027-10-25
CC000173,C01289,Platinum,2010101,1086684.71,923416.29,Active,2025-05-16,2030-05-16
CC000174,C08946,Silver,177545,135713.26,41831.74,Active,2024-07-27,2029-07-27
CC000175,C00567,Platinum,1970363,1251398.06,718964.94,Active,2025-08-24,2030-08-24
CC000176,C03337,Platinum,1273300,818713.41,454586.59,Active,2021-10-05,2026-10-05
CC000177,C07677,Platinum,511797,359341.2,152455.8,Expired,2024-06-12,2029-06-12
CC000178,C03539,Gold,263156,138615.22,124540.78,Active,2025-03-14,2030-03-14
CC000179,C04018,Platinum,1235762,664667.59,571094.41,Active,2020-06-14,2025-06-14
CC000180,C08445,Gold,451516,100087.32,351428.68,Active,2026-07-24,2031-07-24
CC000181,C04921,Silver,148096,86274.78,61821.22,Active,2024-06-07,2029-06-07
CC000182,C03449,Gold,502099,298683.17,203415.83,Active,2026-06-22,2031-06-22
CC000183,C00324,Gold,444762,332120.57,112641.43,Active,2024-12-23,2029-12-23
CC000184,C03135,Platinum,407428,161992.26,245435.74,Active,2025-09-26,2030-09-26
CC000185,C06164,Platinum,478535,324753.86,153781.14,Active,2025-04-27,2030-04-27
CC000186,C01365,Gold,522554,269915.25,252638.75,Active,2023-09-05,2028-09-05
CC000187,C03567,Platinum,660485,123542.11,536942.89,Active,2025-11-08,2030-11-08
CC000188,C10000,Platinum,1370941,617376.58,753564.42,Active,2022-11-04,2027-11-04
CC000189,C01104,Gold,241797,174721.55,67075.45,Active,2023-06-27,2028-06-27
CC000190,C06616,Platinum,227121,37231.68,189889.32,Blocked,2022-11-17,2027-11-17
CC000191,C05005,Platinum,221753,177336.03,44416.97,Active,2025-11-13,2030-11-13
CC000192,C01736,Platinum,884371,560847.13,323523.87,Active,2025-10-16,2030-10-16
CC000193,C03715,Gold,663711,491976.41,171734.59,Active,2021-08-26,2026-08-26
CC000194,C08727,Gold,715611,556987.71,158623.29,Active,2026-05-02,2031-05-02
CC000195,C04742,Gold,536653,305405.71,231247.29,Active,2026-02-28,2031-02-28
CC000196,C03862,Platinum,2254739,1007481.23,1247257.77,Active,2025-08-11,2030-08-11
CC000197,C06247,Gold,776818,97636.69,679181.31,Active,2020-02-21,2025-02-21
CC000198,C02975,Gold,321552,250530.59,71021.41,Active,2026-06-11,2031-06-11
CC000199,C09414,Platinum,802413,449641.97,352771.03,Active,2024-02-15,2029-02-15
CC000200,C07619,Gold,396694,183632.66,213061.34,Active,2026-03-28,2031-03-28
CC000201,C07412,Silver,145878,92193.93,53684.07,Active,2026-04-23,2031-04-23
CC000202,C07654,Gold,502020,204162.13,297857.87,Active,2024-01-17,2029-01-17
CC000203,C09856,Platinum,2121252,1116224.37,1005027.63,Active,2025-08-23,2030-08-23
CC000204,C01335,Silver,174399,19109.27,155289.73,Active,2026-03-03,2031-03-03
CC000205,C03325,Platinum,1037945,439064.77,598880.23,Active,2025-11-27,2030-11-27
CC000206,C06887,Platinum,1845169,1389148.66,456020.34,Active,2025-12-21,2030-12-21
CC000207,C07933,Platinum,635673,434995.33,200677.67,Expired,2026-04-13,2031-04-13
CC000208,C01500,Gold,778043,156580.67,621462.33,Active,2026-03-05,2031-03-05
CC000209,C04263,Silver,65784,46365.8,19418.2,Active,2023-04-24,2028-04-24
CC000210,C09823,Platinum,1670197,564380.73,1105816.27,Active,2025-12-17,2030-12-17
CC000211,C00892,Platinum,805379,239992.7,565386.3,Active,2023-05-13,2028-05-13
CC000212,C04362,Gold,713425,503451.48,209973.52,Active,2024-08-02,2029-08-02
CC000213,C08789,Gold,548588,266801.49,281786.51,Active,2025-03-28,2030-03-28
CC000214,C02734,Gold,537408,380872.43,156535.57,Expired,2024-10-23,2029-10-23
CC000215,C04723,Platinum,1603148,422419.42,1180728.58,Active,2025-03-03,2030-03-03
CC000216,C01743,Gold,695951,413157.93,282793.07,Active,2025-11-18,2030-11-18
CC000217,C03083,Gold,359493,160596.33,198896.67,Active,2023-02-17,2028-02-17
CC000218,C06856,Gold,548121,388502.8,159618.2,Active,2021-01-03,2026-01-03
CC000219,C01458,Gold,751499,554087.11,197411.89,Active,2023-10-15,2028-10-15
CC000220,C04193,Gold,361859,55139.99,306719.01,Active,2021-04-04,2026-04-04
CC000221,C00082,Gold,616791,342248.48,274542.52,Active,2023-01-10,2028-01-10
CC000222,C06270,Platinum,759543,277997.73,481545.27,Active,2022-08-26,2027-08-26
CC000223,C03812,Platinum,711650,505746.96,205903.04,Active,2025-10-25,2030-10-25
CC000224,C08159,Silver,195455,113184.02,82270.98,Active,2025-06-30,2030-06-30
CC000225,C02575,Silver,53692,21679.76,32012.24,Active,2022-05-14,2027-05-14
CC000226,C06158,Platinum,1010778,415000.16,595777.84,Active,2024-01-08,2029-01-08
CC000227,C09286,Gold,42056,13754.93,28301.07,Active,2020-11-22,2025-11-22
CC000228,C08435,Gold,651607,131558.71,520048.29,Active,2020-08-27,2025-08-27
CC000229,C03055,Gold,388803,85143.41,303659.59,Active,2024-11-11,2029-11-11
CC000230,C04469,Platinum,452528,202898.66,249629.34,Active,2026-07-06,2031-07-06
CC000231,C08135,Platinum,2137782,593841.93,1543940.07,Active,2022-07-14,2027-07-14
CC000232,C01198,Gold,687853,502715.02,185137.98,Active,2023-05-11,2028-05-11
CC000233,C09434,Platinum,1726374,1314918.56,411455.44,Expired,2021-08-30,2026-08-30
CC000234,C09271,Silver,141230,82368.08,58861.92,Active,2024-04-17,2029-04-17
CC000235,C03751,Gold,603380,420757.88,182622.12,Active,2022-08-21,2027-08-21
CC000236,C03727,Platinum,1552791,780073.05,772717.95,Expired,2022-12-01,2027-12-01
CC000237,C09915,Gold,615032,179673.15,435358.85,Active,2024-04-21,2029-04-21
CC000238,C05688,Silver,42856,31603.38,11252.62,Active,2022-08-25,2027-08-25
CC000239,C01361,Platinum,500096,321571.07,178524.93,Active,2025-11-28,2030-11-28
CC000240,C00268,Platinum,429642,234426.64,195215.36,Active,2024-01-04,2029-01-04
CC000241,C00888,Platinum,343423,185370.69,158052.31,Active,2026-05-09,2031-05-09
CC000242,C06083,Silver,110984,72364.6,38619.4,Active,2026-01-06,2031-01-06
CC000243,C03131,Silver,64448,10511.04,53936.96,Active,2023-03-11,2028-03-11
CC000244,C08401,Platinum,384171,92414.78,291756.22,Active,2026-06-09,2031-06-09
CC000245,C08101,Platinum,583629,275237.49,308391.51,Active,2025-12-10,2030-12-10
CC000246,C04376,Gold,97363,72032.48,25330.52,Blocked,2023-09-25,2028-09-25
CC000247,C05186,Platinum,509478,317196.7,192281.3,Active,2026-01-28,2031-01-28
CC000248,C02005,Gold,278957,55381.31,223575.69,Blocked,2026-03-26,2031-03-26
CC000249,C05175,Gold,134179,104269.0,29910.0,Active,2022-05-31,2027-05-31
CC000250,C05556,Gold,613741,67353.81,546387.19,Active,2025-07-26,2030-07-26
CC000251,C06989,Gold,474896,241813.27,233082.73,Active,2026-01-08,2031-01-08
CC000252,C06544,Gold,58402,33428.46,24973.54,Active,2020-07-23,2025-07-23
CC000253,C00029,Silver,177169,58395.68,118773.32,Active,2026-04-12,2031-04-12
CC000254,C08268,Platinum,2132538,1443085.79,689452.21,Active,2024-10-26,2029-10-26
CC000255,C04950,Silver,137032,24895.04,112136.96,Active,2026-05-30,2031-05-30
CC000256,C01525,Silver,159138,28849.23,130288.77,Active,2024-12-18,2029-12-18
CC000257,C03563,Gold,607524,253672.03,353851.97,Active,2022-08-30,2027-08-30
CC000258,C06472,Platinum,766432,301505.71,464926.29,Active,2023-11-18,2028-11-18
CC000259,C05947,Silver,138759,77489.32,61269.68,Active,2025-12-27,2030-12-27
CC000260,C01707,Platinum,493328,60630.7,432697.3,Active,2022-06-08,2027-06-08
CC000261,C02026,Platinum,1295164,905080.21,390083.79,Active,2025-07-21,2030-07-21
CC000262,C05443,Silver,172728,126296.53,46431.47,Active,2026-01-24,2031-01-24
CC000263,C06343,Gold,489282,113937.14,375344.86,Active,2026-01-30,2031-01-30
CC000264,C06207,Gold,149201,24494.54,124706.46,Active,2022-11-11,2027-11-11
CC000265,C04426,Platinum,222394,30113.25,192280.75,Active,2023-08-15,2028-08-15
CC000266,C00732,Platinum,792002,192966.46,599035.54,Active,2025-12-23,2030-12-23
CC000267,C02606,Gold,426441,285347.49,141093.51,Active,2026-04-13,2031-04-13
CC000268,C08494,Platinum,202973,59692.82,143280.18,Expired,2025-02-12,2030-02-12
CC000269,C09760,Platinum,766456,211126.39,555329.61,Active,2020-11-21,2025-11-21
CC000270,C02242,Silver,36758,7067.18,29690.82,Active,2020-11-11,2025-11-11
CC000271,C03100,Platinum,539498,59909.5,479588.5,Active,2023-04-10,2028-04-10
CC000272,C04027,Gold,641409,300346.09,341062.91,Active,2022-10-19,2027-10-19
CC000273,C06301,Gold,579625,266202.39,313422.61,Active,2026-07-04,2031-07-04
CC000274,C07938,Gold,245471,149509.05,95961.95,Active,2020-05-17,2025-05-17
CC000275,C08709,Silver,109070,45878.09,63191.91,Blocked,2024-08-08,2029-08-08
CC000276,C07299,Silver,155562,107821.42,47740.58,Active,2025-10-07,2030-10-07
CC000277,C08256,Platinum,2294013,1690207.17,603805.83,Active,2024-06-29,2029-06-29
CC000278,C07900,Platinum,2075692,423095.93,1652596.07,Active,2025-06-29,2030-06-29
CC000279,C00383,Platinum,2027598,981052.29,1046545.71,Active,2022-11-25,2027-11-25
CC000280,C02302,Platinum,756329,231760.7,524568.3,Active,2023-08-27,2028-08-27
CC000281,C03768,Gold,319971,223005.36,96965.64,Active,2025-03-30,2030-03-30
CC000282,C08143,Platinum,425468,170633.5,254834.5,Active,2025-11-30,2030-11-30
CC000283,C01649,Gold,675528,256100.18,419427.82,Active,2022-01-11,2027-01-11
CC000284,C02192,Silver,111926,63302.6,48623.4,Active,2025-05-09,2030-05-09
CC000285,C03053,Gold,697305,102499.17,594805.83,Active,2025-08-28,2030-08-28
CC000286,C06947,Gold,301255,187143.3,114111.7,Active,2021-01-30,2026-01-30
CC000287,C04166,Gold,262894,134214.11,128679.89,Active,2020-01-18,2025-01-18
CC000288,C07491,Silver,62042,24045.37,37996.63,Active,2026-05-10,2031-05-10
CC000289,C08206,Gold,140870,99688.7,41181.3,Active,2026-05-14,2031-05-14
CC000290,C09299,Platinum,527626,182638.97,344987.03,Active,2021-02-11,2026-02-11
CC000291,C05338,Gold,705612,181322.11,524289.89,Active,2022-02-06,2027-02-06
CC000292,C00611,Platinum,585415,105620.41,479794.59,Active,2024-02-14,2029-02-14
CC000293,C00162,Platinum,1699913,1175674.47,524238.53,Expired,2024-05-30,2029-05-30
CC000294,C08923,Platinum,783783,92782.41,691000.59,Active,2026-04-05,2031-04-05
CC000295,C05377,Platinum,480439,57781.07,422657.93,Active,2022-06-11,2027-06-11
CC000296,C00584,Gold,119082,41168.6,77913.4,Active,2025-09-12,2030-09-12
CC000297,C06435,Gold,620252,92237.55,528014.45,Active,2024-02-01,2029-02-01
CC000298,C02319,Gold,54053,33636.01,20416.99,Active,2025-07-25,2030-07-25
CC000299,C01754,Gold,557455,117169.51,440285.49,Active,2026-08-04,2031-08-04
CC000300,C09928,Gold,795164,411383.38,383780.62,Active,2023-02-14,2028-02-14
CC000301,C05950,Gold,252179,144190.43,107988.57,Active,2024-11-12,2029-11-12
CC000302,C01785,Platinum,709253,372324.64,336928.36,Active,2024-06-07,2029-06-07
CC000303,C03612,Gold,737234,132460.5,604773.5,Active,2024-09-25,2029-09-25
CC000304,C06251,Gold,710271,333013.31,377257.69,Active,2025-05-27,2030-05-27
CC000305,C07431,Gold,257443,27129.59,230313.41,Active,2023-09-29,2028-09-29
CC000306,C01646,Gold,343901,218347.09,125553.91,Active,2026-06-29,2031-06-29
CC000307,C05227,Gold,721546,449458.14,272087.86,Active,2025-10-20,2030-10-20
CC000308,C06272,Gold,441288,198660.64,242627.36,Active,2026-06-05,2031-06-05
CC000309,C05968,Platinum,275576,104153.9,171422.1,Active,2024-01-29,2029-01-29
CC000310,C05872,Gold,682087,508027.75,174059.25,Active,2023-04-01,2028-04-01
CC000311,C08033,Gold,624068,372349.72,251718.28,Active,2021-10-24,2026-10-24
CC000312,C04244,Gold,221869,172245.73,49623.27,Active,2023-04-20,2028-04-20
CC000313,C05571,Platinum,1764893,1204395.0,560498.0,Active,2026-05-03,2031-05-03
CC000314,C06206,Platinum,1022011,276271.58,745739.42,Active,2026-06-17,2031-06-17
CC000315,C08535,Gold,614991,436254.38,178736.62,Active,2026-02-27,2031-02-27
CC000316,C08658,Gold,376299,57748.94,318550.06,Active,2023-04-18,2028-04-18
